Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
Total, Maramures, Anul 1996, Mii persoane, 235.4
Total, Maramures, Anul 1997, Mii persoane, 232.8
Total, Maramures, Anul 1998, Mii persoane, 255.4
Total, Maramures, Anul 1999, Mii persoane, 230.5
Total, Maramures, Anul 2000, Mii persoane, 232.4
Total, Maramures, Anul 2001, Mii persoane, 227.1
Total, Maramures, Anul 2002, Mii persoane, 213.1
Total, Maramures, Anul 2003, Mii persoane, 208.2
Total, Maramures, Anul 2004, Mii persoane, 208.1
Total, Maramures, Anul 2005, Mii persoane, 209.5
Total, Maramures, Anul 2006, Mii persoane, 205.8
Total, Maramures, Anul 2007, Mii persoane, 205.7
Total, Maramures, Anul 2008, Mii persoane, 205.6
Total, Maramures, Anul 2009, Mii persoane, 208.6
Total, Maramures, Anul 2010, Mii persoane, 207.6
Total, Maramures, Anul 2011, Mii persoane, 205
Total, Maramures, Anul 2012, Mii persoane, 210.7
Total, Maramures, Anul 2013, Mii persoane, 209.1
Total, Maramures, Anul 2014, Mii persoane, 206.5
Total, Maramures, Anul 2015, Mii persoane, 202.8
Total, Maramures, Anul 2016, Mii persoane, 196.4
Total, Maramures, Anul 2017, Mii persoane, 198.9
Total, Satu Mare, Anul 1990, Mii persoane, 185.1
Total, Satu Mare, Anul 1991, Mii persoane, 197.3
Total, Satu Mare, Anul 1992, Mii persoane, 200.1
Total, Satu Mare, Anul 1993, Mii persoane, 188.5
Total, Satu Mare, Anul 1994, Mii persoane, 192.5
Total, Satu Mare, Anul 1995, Mii persoane, 184.5
Total, Satu Mare, Anul 1996, Mii persoane, 179.1
Total, Satu Mare, Anul 1997, Mii persoane, 163.1
Total, Satu Mare, Anul 1998, Mii persoane, 173.6
Total, Satu Mare, Anul 1999, Mii persoane, 162.8
Total, Satu Mare, Anul 2000, Mii persoane, 164.4
Total, Satu Mare, Anul 2001, Mii persoane, 166.8
Total, Satu Mare, Anul 2002, Mii persoane, 155.7
Total, Satu Mare, Anul 2003, Mii persoane, 150.2
Total, Satu Mare, Anul 2004, Mii persoane, 145.4
Total, Satu Mare, Anul 2005, Mii persoane, 151.1
Total, Satu Mare, Anul 2006, Mii persoane, 153
Total, Satu Mare, Anul 2007, Mii persoane, 154.7
Total, Satu Mare, Anul 2008, Mii persoane, 155.5
Total, Satu Mare, Anul 2009, Mii persoane, 156.5
Total, Satu Mare, Anul 2010, Mii persoane, 154.6
Total, Satu Mare, Anul 2011, Mii persoane, 152.6
Total, Satu Mare, Anul 2012, Mii persoane, 158.1
Total, Satu Mare, Anul 2013, Mii persoane, 158.5
Total, Satu Mare, Anul 2014, Mii persoane, 156.2
Total, Satu Mare, Anul 2015, Mii persoane, 151.3
Total, Satu Mare, Anul 2016, Mii persoane, 147
Total, Satu Mare, Anul 2017, Mii persoane, 147.7
Total, Salaj, Anul 1990, Mii persoane, 123.1
Total, Salaj, Anul 1991, Mii persoane, 126.2
Total, Salaj, Anul 1992, Mii persoane, 128
Total, Salaj, Anul 1993, Mii persoane, 129.3
Total, Salaj, Anul 1994, Mii persoane, 126.5
Total, Salaj, Anul 1995, Mii persoane, 119.7
Total, Salaj, Anul 1996, Mii persoane, 119.6
Total, Salaj, Anul 1997, Mii persoane, 119.7
Total, Salaj, Anul 1998, Mii persoane, 118.5
Total, Salaj, Anul 1999, Mii persoane, 131.4
Total, Salaj, Anul 2000, Mii persoane, 116.4
Total, Salaj, Anul 2001, Mii persoane, 114.8
Total, Salaj, Anul 2002, Mii persoane, 105.1
Total, Salaj, Anul 2003, Mii persoane, 104.4
Total, Salaj, Anul 2004, Mii persoane, 100.2
Total, Salaj, Anul 2005, Mii persoane, 103.1
Total, Salaj, Anul 2006, Mii persoane, 106
Total, Salaj, Anul 2007, Mii persoane, 106.8
Total, Salaj, Anul 2008, Mii persoane, 106.4
Total, Salaj, Anul 2009, Mii persoane, 108.4
Total, Salaj, Anul 2010, Mii persoane, 106.2
Total, Salaj, Anul 2011, Mii persoane, 105
Total, Salaj, Anul 2012, Mii persoane, 108.6
Total, Salaj, Anul 2013, Mii persoane, 108
Total, Salaj, Anul 2014, Mii persoane, 106.5
Total, Salaj, Anul 2015, Mii persoane, 103.5
Total, Salaj, Anul 2016, Mii persoane, 103.1
Total, Salaj, Anul 2017, Mii persoane, 102.8
Total, Regiunea CENTRU, Anul 1990, Mii persoane, 1310.5
Total, Regiunea CENTRU, Anul 1991, Mii persoane, 1328.4
Total, Regiunea CENTRU, Anul 1992, Mii persoane, 1329.8
Total, Regiunea CENTRU, Anul 1993, Mii persoane, 1326.8
Total, Regiunea CENTRU, Anul 1994, Mii persoane, 1346.5
Total, Regiunea CENTRU, Anul 1995, Mii persoane, 1288.3
Total, Regiunea CENTRU, Anul 1996, Mii persoane, 1238.8
Total, Regiunea CENTRU, Anul 1997, Mii persoane, 1221.6
Total, Regiunea CENTRU, Anul 1998, Mii persoane, 1211.4
Total, Regiunea CENTRU, Anul 1999, Mii persoane, 1192.5
Total, Regiunea CENTRU, Anul 2000, Mii persoane, 1186.3
Total, Regiunea CENTRU, Anul 2001, Mii persoane, 1143.1
Total, Regiunea CENTRU, Anul 2002, Mii persoane, 1145.3
Total, Regiunea CENTRU, Anul 2003, Mii persoane, 1117.4
Total, Regiunea CENTRU, Anul 2004, Mii persoane, 1092.5
Total, Regiunea CENTRU, Anul 2005, Mii persoane, 1087.2
Total, Regiunea CENTRU, Anul 2006, Mii persoane, 1092
Total, Regiunea CENTRU, Anul 2007, Mii persoane, 1103.3
Total, Regiunea CENTRU, Anul 2008, Mii persoane, 1103.5
Total, Regiunea CENTRU, Anul 2009, Mii persoane, 1107.2
Total, Regiunea CENTRU, Anul 2010, Mii persoane, 1089.3
Total, Regiunea CENTRU, Anul 2011, Mii persoane, 1071.8
Total, Regiunea CENTRU, Anul 2012, Mii persoane, 1109.4
Total, Regiunea CENTRU, Anul 2013, Mii persoane, 1110.6
Total, Regiunea CENTRU, Anul 2014, Mii persoane, 1086.7
Total, Regiunea CENTRU, Anul 2015, Mii persoane, 1076.9
Total, Regiunea CENTRU, Anul 2016, Mii persoane, 1083.9
Total, Regiunea CENTRU, Anul 2017, Mii persoane, 1082.8
Total, Alba, Anul 1990, Mii persoane, 205.6
Total, Alba, Anul 1991, Mii persoane, 208.4
Total, Alba, Anul 1992, Mii persoane, 217.6
Total, Alba, Anul 1993, Mii persoane, 210.9
Total, Alba, Anul 1994, Mii persoane, 211.5
Total, Alba, Anul 1995, Mii persoane, 202.6
Total, Alba, Anul 1996, Mii persoane, 210.6
Total, Alba, Anul 1997, Mii persoane, 189.6
Total, Alba, Anul 1998, Mii persoane, 198
Total, Alba, Anul 1999, Mii persoane, 196.7
Total, Alba, Anul 2000, Mii persoane, 204.1
Total, Alba, Anul 2001, Mii persoane, 192.3
Total, Alba, Anul 2002, Mii persoane, 198
Total, Alba, Anul 2003, Mii persoane, 188.3
Total, Alba, Anul 2004, Mii persoane, 186.4
Total, Alba, Anul 2005, Mii persoane, 183.9
Total, Alba, Anul 2006, Mii persoane, 183.9
Total, Alba, Anul 2007, Mii persoane, 184
Total, Alba, Anul 2008, Mii persoane, 181.4
Total, Alba, Anul 2009, Mii persoane, 182.8
Total, Alba, Anul 2010, Mii persoane, 174.3
Total, Alba, Anul 2011, Mii persoane, 171.3
Total, Alba, Anul 2012, Mii persoane, 178.3
Total, Alba, Anul 2013, Mii persoane, 181.8
Total, Alba, Anul 2014, Mii persoane, 172.1
Total, Alba, Anul 2015, Mii persoane, 168.6
Total, Alba, Anul 2016, Mii persoane, 168.5
Total, Alba, Anul 2017, Mii persoane, 168.3
Total, Brasov, Anul 1990, Mii persoane, 324.4
Total, Brasov, Anul 1991, Mii persoane, 332.5
Total, Brasov, Anul 1992, Mii persoane, 320.3
Total, Brasov, Anul 1993, Mii persoane, 317.7
Total, Brasov, Anul 1994, Mii persoane, 330.4
Total, Brasov, Anul 1995, Mii persoane, 295.4
Total, Brasov, Anul 1996, Mii persoane, 274.2
Total, Brasov, Anul 1997, Mii persoane, 289.1
Total, Brasov, Anul 1998, Mii persoane, 286.4
Total, Brasov, Anul 1999, Mii persoane, 285.7
Total, Brasov, Anul 2000, Mii persoane, 269.1
Total, Brasov, Anul 2001, Mii persoane, 262.5
Total, Brasov, Anul 2002, Mii persoane, 271.9
Total, Brasov, Anul 2003, Mii persoane, 257.7
Total, Brasov, Anul 2004, Mii persoane, 256.4
Total, Brasov, Anul 2005, Mii persoane, 248.7
Total, Brasov, Anul 2006, Mii persoane, 246
Total, Brasov, Anul 2007, Mii persoane, 249.8
Total, Brasov, Anul 2008, Mii persoane, 250.3
Total, Brasov, Anul 2009, Mii persoane, 251.3
Total, Brasov, Anul 2010, Mii persoane, 245.8
Total, Brasov, Anul 2011, Mii persoane, 241.5
Total, Brasov, Anul 2012, Mii persoane, 249.9
Total, Brasov, Anul 2013, Mii persoane, 253.5
Total, Brasov, Anul 2014, Mii persoane, 251.4
Total, Brasov, Anul 2015, Mii persoane, 253.3
Total, Brasov, Anul 2016, Mii persoane, 262.5
Total, Brasov, Anul 2017, Mii persoane, 261.5
Total, Covasna, Anul 1990, Mii persoane, 107.2
Total, Covasna, Anul 1991, Mii persoane, 107.2
Total, Covasna, Anul 1992, Mii persoane, 107.7
Total, Covasna, Anul 1993, Mii persoane, 117.2
Total, Covasna, Anul 1994, Mii persoane, 107.2
Total, Covasna, Anul 1995, Mii persoane, 122.7
Total, Covasna, Anul 1996, Mii persoane, 102.1
Total, Covasna, Anul 1997, Mii persoane, 109.6
Total, Covasna, Anul 1998, Mii persoane, 107.4
Total, Covasna, Anul 1999, Mii persoane, 100.7
Total, Covasna, Anul 2000, Mii persoane, 101.4
Total, Covasna, Anul 2001, Mii persoane, 96.7
Total, Covasna, Anul 2002, Mii persoane, 96.3
Total, Covasna, Anul 2003, Mii persoane, 96.3
Total, Covasna, Anul 2004, Mii persoane, 94.4
Total, Covasna, Anul 2005, Mii persoane, 93.6
Total, Covasna, Anul 2006, Mii persoane, 91.8
Total, Covasna, Anul 2007, Mii persoane, 94.9
Total, Covasna, Anul 2008, Mii persoane, 93.8
Total, Covasna, Anul 2009, Mii persoane, 93.5
Total, Covasna, Anul 2010, Mii persoane, 89.7
Total, Covasna, Anul 2011, Mii persoane, 89.6
Total, Covasna, Anul 2012, Mii persoane, 91.4
Total, Covasna, Anul 2013, Mii persoane, 89.8
Total, Covasna, Anul 2014, Mii persoane, 88.7
Total, Covasna, Anul 2015, Mii persoane, 88.3
Total, Covasna, Anul 2016, Mii persoane, 86.3
Total, Covasna, Anul 2017, Mii persoane, 86
Total, Harghita, Anul 1990, Mii persoane, 170.2
Total, Harghita, Anul 1991, Mii persoane, 169.7
Total, Harghita, Anul 1992, Mii persoane, 176.6
Total, Harghita, Anul 1993, Mii persoane, 177.3
Total, Harghita, Anul 1994, Mii persoane, 176.8
Total, Harghita, Anul 1995, Mii persoane, 169.3
Total, Harghita, Anul 1996, Mii persoane, 164.6
Total, Harghita, Anul 1997, Mii persoane, 164.4
Total, Harghita, Anul 1998, Mii persoane, 161.4
Total, Harghita, Anul 1999, Mii persoane, 157.8
Total, Harghita, Anul 2000, Mii persoane, 162.1
Total, Harghita, Anul 2001, Mii persoane, 153.3
Total, Harghita, Anul 2002, Mii persoane, 142
Total, Harghita, Anul 2003, Mii persoane, 138.5
Total, Harghita, Anul 2004, Mii persoane, 132.9
Total, Harghita, Anul 2005, Mii persoane, 137.9
Total, Harghita, Anul 2006, Mii persoane, 139.6
Total, Harghita, Anul 2007, Mii persoane, 140.3
Total, Harghita, Anul 2008, Mii persoane, 143.3
Total, Harghita, Anul 2009, Mii persoane, 144.7
Total, Harghita, Anul 2010, Mii persoane, 145.2
Total, Harghita, Anul 2011, Mii persoane, 141.2
Total, Harghita, Anul 2012, Mii persoane, 145.5
Total, Harghita, Anul 2013, Mii persoane, 144.3
Total, Harghita, Anul 2014, Mii persoane, 138.8
Total, Harghita, Anul 2015, Mii persoane, 136
Total, Harghita, Anul 2016, Mii persoane, 135.4
Total, Harghita, Anul 2017, Mii persoane, 134.9
Total, Mures, Anul 1990, Mii persoane, 282.7
Total, Mures, Anul 1991, Mii persoane, 290.9
Total, Mures, Anul 1992, Mii persoane, 293
Total, Mures, Anul 1993, Mii persoane, 287.2
Total, Mures, Anul 1994, Mii persoane, 307.8
Total, Mures, Anul 1995, Mii persoane, 297.5
Total, Mures, Anul 1996, Mii persoane, 287
Total, Mures, Anul 1997, Mii persoane, 279
Total, Mures, Anul 1998, Mii persoane, 269.2
Total, Mures, Anul 1999, Mii persoane, 258.5
Total, Mures, Anul 2000, Mii persoane, 264.6
Total, Mures, Anul 2001, Mii persoane, 255.1
Total, Mures, Anul 2002, Mii persoane, 257.4
Total, Mures, Anul 2003, Mii persoane, 260.9
Total, Mures, Anul 2004, Mii persoane, 245.1
Total, Mures, Anul 2005, Mii persoane, 247.5
Total, Mures, Anul 2006, Mii persoane, 249.3
Total, Mures, Anul 2007, Mii persoane, 248.8
Total, Mures, Anul 2008, Mii persoane, 248.4
Total, Mures, Anul 2009, Mii persoane, 249.4
Total, Mures, Anul 2010, Mii persoane, 247.9
Total, Mures, Anul 2011, Mii persoane, 243.6
Total, Mures, Anul 2012, Mii persoane, 250.7
Total, Mures, Anul 2013, Mii persoane, 246.9
Total, Mures, Anul 2014, Mii persoane, 244.2
Total, Mures, Anul 2015, Mii persoane, 236.9
Total, Mures, Anul 2016, Mii persoane, 233.7
Total, Mures, Anul 2017, Mii persoane, 234.8
Total, Sibiu, Anul 1990, Mii persoane, 220.4
Total, Sibiu, Anul 1991, Mii persoane, 219.7
Total, Sibiu, Anul 1992, Mii persoane, 214.6
Total, Sibiu, Anul 1993, Mii persoane, 216.5
Total, Sibiu, Anul 1994, Mii persoane, 212.8
Total, Sibiu, Anul 1995, Mii persoane, 200.8
Total, Sibiu, Anul 1996, Mii persoane, 200.3
Total, Sibiu, Anul 1997, Mii persoane, 189.9
Total, Sibiu, Anul 1998, Mii persoane, 189
Total, Sibiu, Anul 1999, Mii persoane, 193.1
Total, Sibiu, Anul 2000, Mii persoane, 185
Total, Sibiu, Anul 2001, Mii persoane, 183.2
Total, Sibiu, Anul 2002, Mii persoane, 179.7
Total, Sibiu, Anul 2003, Mii persoane, 175.7
Total, Sibiu, Anul 2004, Mii persoane, 177.3
Total, Sibiu, Anul 2005, Mii persoane, 175.6
Total, Sibiu, Anul 2006, Mii persoane, 181.4
Total, Sibiu, Anul 2007, Mii persoane, 185.5
Total, Sibiu, Anul 2008, Mii persoane, 186.3
Total, Sibiu, Anul 2009, Mii persoane, 185.5
Total, Sibiu, Anul 2010, Mii persoane, 186.4
Total, Sibiu, Anul 2011, Mii persoane, 184.6
Total, Sibiu, Anul 2012, Mii persoane, 193.6
Total, Sibiu, Anul 2013, Mii persoane, 194.3
Total, Sibiu, Anul 2014, Mii persoane, 191.5
Total, Sibiu, Anul 2015, Mii persoane, 193.8
Total, Sibiu, Anul 2016, Mii persoane, 197.5
Total, Sibiu, Anul 2017, Mii persoane, 197.3
Total, MACROREGIUNEA DOI, Anul 1990, Mii persoane, 3094.7
Total, MACROREGIUNEA DOI, Anul 1991, Mii persoane, 3196
Total, MACROREGIUNEA DOI, Anul 1992, Mii persoane, 3296.4
Total, MACROREGIUNEA DOI, Anul 1993, Mii persoane, 3269.8
Total, MACROREGIUNEA DOI, Anul 1994, Mii persoane, 3284.4
Total, MACROREGIUNEA DOI, Anul 1995, Mii persoane, 3087.4
Total, MACROREGIUNEA DOI, Anul 1996, Mii persoane, 2974
Total, MACROREGIUNEA DOI, Anul 1997, Mii persoane, 2918.3
Total, MACROREGIUNEA DOI, Anul 1998, Mii persoane, 2888
Total, MACROREGIUNEA DOI, Anul 1999, Mii persoane, 2863.8
Total, MACROREGIUNEA DOI, Anul 2000, Mii persoane, 2853
Total, MACROREGIUNEA DOI, Anul 2001, Mii persoane, 2755.5
Total, MACROREGIUNEA DOI, Anul 2002, Mii persoane, 2602.9
Total, MACROREGIUNEA DOI, Anul 2003, Mii persoane, 2530.1
Total, MACROREGIUNEA DOI, Anul 2004, Mii persoane, 2456.8
Total, MACROREGIUNEA DOI, Anul 2005, Mii persoane, 2456.5
Total, MACROREGIUNEA DOI, Anul 2006, Mii persoane, 2426.1
Total, MACROREGIUNEA DOI, Anul 2007, Mii persoane, 2434.6
Total, MACROREGIUNEA DOI, Anul 2008, Mii persoane, 2428.7
Total, MACROREGIUNEA DOI, Anul 2009, Mii persoane, 2426.3
Total, MACROREGIUNEA DOI, Anul 2010, Mii persoane, 2392.3
Total, MACROREGIUNEA DOI, Anul 2011, Mii persoane, 2316.7
Total, MACROREGIUNEA DOI, Anul 2012, Mii persoane, 2383.4
