
Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Milioane lei, Valoare
Harghita, Anul 2005, Milioane lei, 3351.1
Harghita, Anul 2006, Milioane lei, 4412.8
Harghita, Anul 2007, Milioane lei, 5303.1
Harghita, Anul 2008, Milioane lei, 6390.1
Harghita, Anul 2009, Milioane lei, 6193.3
Harghita, Anul 2010, Milioane lei, 6086.8
Harghita, Anul 2011, Milioane lei, 6384.5
Harghita, Anul 2012, Milioane lei, 6558.8
Harghita, Anul 2013, Milioane lei, 6915.6
Harghita, Anul 2014, Milioane lei, 7104.3
Harghita, Anul 2015, Milioane lei, 7367.1
Mures, Anul 2000, Milioane lei, 2140.5
Mures, Anul 2001, Milioane lei, 3257.9
Mures, Anul 2002, Milioane lei, 4066.2
Mures, Anul 2003, Milioane lei, 5498.6
Mures, Anul 2004, Milioane lei, 6289.8
Mures, Anul 2005, Milioane lei, 6968.9
Mures, Anul 2006, Milioane lei, 8262.2
Mures, Anul 2007, Milioane lei, 10312.6
Mures, Anul 2008, Milioane lei, 11858.8
Mures, Anul 2009, Milioane lei, 11297.2
Mures, Anul 2010, Milioane lei, 11165.9
Mures, Anul 2011, Milioane lei, 11605.6
Mures, Anul 2012, Milioane lei, 13213.4
Mures, Anul 2013, Milioane lei, 13616
Mures, Anul 2014, Milioane lei, 14445.9
Mures, Anul 2015, Milioane lei, 15595.1
Sibiu, Anul 2000, Milioane lei, 1645.7
Sibiu, Anul 2001, Milioane lei, 2438.2
Sibiu, Anul 2002, Milioane lei, 3314.1
Sibiu, Anul 2003, Milioane lei, 4162.9
Sibiu, Anul 2004, Milioane lei, 5223.5
Sibiu, Anul 2005, Milioane lei, 6098.9
Sibiu, Anul 2006, Milioane lei, 7769.2
Sibiu, Anul 2007, Milioane lei, 9437.2
Sibiu, Anul 2008, Milioane lei, 11868
Sibiu, Anul 2009, Milioane lei, 12071.7
Sibiu, Anul 2010, Milioane lei, 12132.1
Sibiu, Anul 2011, Milioane lei, 12829.1
Sibiu, Anul 2012, Milioane lei, 13182
Sibiu, Anul 2013, Milioane lei, 13679
Sibiu, Anul 2014, Milioane lei, 13907.4
Sibiu, Anul 2015, Milioane lei, 15527.8
MACROREGIUNEA DOI, Anul 2000, Milioane lei, 19172.8
MACROREGIUNEA DOI, Anul 2001, Milioane lei, 28109.4
MACROREGIUNEA DOI, Anul 2002, Milioane lei, 36403.6
MACROREGIUNEA DOI, Anul 2003, Milioane lei, 46709.9
MACROREGIUNEA DOI, Anul 2004, Milioane lei, 58298.3
MACROREGIUNEA DOI, Anul 2005, Milioane lei, 65480.9
MACROREGIUNEA DOI, Anul 2006, Milioane lei, 77183.9
MACROREGIUNEA DOI, Anul 2007, Milioane lei, 92885.8
MACROREGIUNEA DOI, Anul 2008, Milioane lei, 112972.2
MACROREGIUNEA DOI, Anul 2009, Milioane lei, 112332.7
MACROREGIUNEA DOI, Anul 2010, Milioane lei, 113126.7
MACROREGIUNEA DOI, Anul 2011, Milioane lei, 118802.1
MACROREGIUNEA DOI, Anul 2012, Milioane lei, 126240.2
MACROREGIUNEA DOI, Anul 2013, Milioane lei, 137534
MACROREGIUNEA DOI, Anul 2014, Milioane lei, 142408.7
MACROREGIUNEA DOI, Anul 2015, Milioane lei, 147654.6
Regiunea NORD-EST, Anul 2000, Milioane lei, 9618
Regiunea NORD-EST, Anul 2001, Milioane lei, 14241.5
Regiunea NORD-EST, Anul 2002, Milioane lei, 18475.2
Regiunea NORD-EST, Anul 2003, Milioane lei, 23809.2
Regiunea NORD-EST, Anul 2004, Milioane lei, 28767.1
Regiunea NORD-EST, Anul 2005, Milioane lei, 32521
Regiunea NORD-EST, Anul 2006, Milioane lei, 38115.8
Regiunea NORD-EST, Anul 2007, Milioane lei, 46591
Regiunea NORD-EST, Anul 2008, Milioane lei, 57163.4
Regiunea NORD-EST, Anul 2009, Milioane lei, 56639.4
Regiunea NORD-EST, Anul 2010, Milioane lei, 56763.1
Regiunea NORD-EST, Anul 2011, Milioane lei, 56871.2
Regiunea NORD-EST, Anul 2012, Milioane lei, 61426.7
Regiunea NORD-EST, Anul 2013, Milioane lei, 65380.3
Regiunea NORD-EST, Anul 2014, Milioane lei, 67169.4
Regiunea NORD-EST, Anul 2015, Milioane lei, 71470.3
Bacau, Anul 2000, Milioane lei, 2113.4
Bacau, Anul 2001, Milioane lei, 3129.5
Bacau, Anul 2002, Milioane lei, 4107.7
Bacau, Anul 2003, Milioane lei, 5260.3
Bacau, Anul 2004, Milioane lei, 6545.3
Bacau, Anul 2005, Milioane lei, 7178
Bacau, Anul 2006, Milioane lei, 8415.5
Bacau, Anul 2007, Milioane lei, 10033.7
Bacau, Anul 2008, Milioane lei, 12368.4
Bacau, Anul 2009, Milioane lei, 12358.5
Bacau, Anul 2010, Milioane lei, 12115.1
Bacau, Anul 2011, Milioane lei, 11223.9
Bacau, Anul 2012, Milioane lei, 12615.5
Bacau, Anul 2013, Milioane lei, 12463
Bacau, Anul 2014, Milioane lei, 12836.5
Bacau, Anul 2015, Milioane lei, 14001
Botosani, Anul 2000, Milioane lei, 955.2
Botosani, Anul 2001, Milioane lei, 1374.6
Botosani, Anul 2002, Milioane lei, 1826.8
Botosani, Anul 2003, Milioane lei, 2332.9
Botosani, Anul 2004, Milioane lei, 2603.4
Botosani, Anul 2005, Milioane lei, 3031
Botosani, Anul 2006, Milioane lei, 3550.6
Botosani, Anul 2007, Milioane lei, 4686.1
Botosani, Anul 2008, Milioane lei, 5793.4
Botosani, Anul 2009, Milioane lei, 5726.3
Botosani, Anul 2010, Milioane lei, 5760.1
Botosani, Anul 2011, Milioane lei, 6108
Botosani, Anul 2012, Milioane lei, 5968.5
Botosani, Anul 2013, Milioane lei, 6705
Botosani, Anul 2014, Milioane lei, 6629.9
Botosani, Anul 2015, Milioane lei, 6913
Iasi, Anul 2000, Milioane lei, 2463.5
Iasi, Anul 2001, Milioane lei, 3708.3
Iasi, Anul 2002, Milioane lei, 4757.4
Iasi, Anul 2003, Milioane lei, 6109.4
Iasi, Anul 2004, Milioane lei, 7295.2
Iasi, Anul 2005, Milioane lei, 8702.9
Iasi, Anul 2006, Milioane lei, 10052.7
Iasi, Anul 2007, Milioane lei, 12473.5
Iasi, Anul 2008, Milioane lei, 15688.5
Iasi, Anul 2009, Milioane lei, 15345.1
Iasi, Anul 2010, Milioane lei, 16258.9
Iasi, Anul 2011, Milioane lei, 16165.5
Iasi, Anul 2012, Milioane lei, 17591
Iasi, Anul 2013, Milioane lei, 19668.3
Iasi, Anul 2014, Milioane lei, 20604.2
Iasi, Anul 2015, Milioane lei, 21755.5
Neamt, Anul 2000, Milioane lei, 1471
Neamt, Anul 2001, Milioane lei, 2171.4
Neamt, Anul 2002, Milioane lei, 2690.6
Neamt, Anul 2003, Milioane lei, 3279.2
Neamt, Anul 2004, Milioane lei, 4236.1
Neamt, Anul 2005, Milioane lei, 4880.2
Neamt, Anul 2006, Milioane lei, 5763.6
Neamt, Anul 2007, Milioane lei, 6653.3
Neamt, Anul 2008, Milioane lei, 7870.1
Neamt, Anul 2009, Milioane lei, 7714.1
Neamt, Anul 2010, Milioane lei, 7462.8
Neamt, Anul 2011, Milioane lei, 7655.9
Neamt, Anul 2012, Milioane lei, 8315.2
Neamt, Anul 2013, Milioane lei, 8817.3
Neamt, Anul 2014, Milioane lei, 8843
Neamt, Anul 2015, Milioane lei, 9732.6
Suceava, Anul 2000, Milioane lei, 1842.7
Suceava, Anul 2001, Milioane lei, 2604.3
Suceava, Anul 2002, Milioane lei, 3533.3
Suceava, Anul 2003, Milioane lei, 4571.5
Suceava, Anul 2004, Milioane lei, 5534
Suceava, Anul 2005, Milioane lei, 6116.1
Suceava, Anul 2006, Milioane lei, 7027.2
Suceava, Anul 2007, Milioane lei, 8914.1
Suceava, Anul 2008, Milioane lei, 10118
Suceava, Anul 2009, Milioane lei, 10526.2
Suceava, Anul 2010, Milioane lei, 10262.3
Suceava, Anul 2011, Milioane lei, 10654.2
Suceava, Anul 2012, Milioane lei, 11111.1
Suceava, Anul 2013, Milioane lei, 11890.3
Suceava, Anul 2014, Milioane lei, 12249.3
Suceava, Anul 2015, Milioane lei, 12771
Vaslui, Anul 2000, Milioane lei, 772.2
Vaslui, Anul 2001, Milioane lei, 1253.4
Vaslui, Anul 2002, Milioane lei, 1559.4
Vaslui, Anul 2003, Milioane lei, 2255.9
Vaslui, Anul 2004, Milioane lei, 2553.1
Vaslui, Anul 2005, Milioane lei, 2612.8
Vaslui, Anul 2006, Milioane lei, 3306.2
Vaslui, Anul 2007, Milioane lei, 3830.3
Vaslui, Anul 2008, Milioane lei, 5325
Vaslui, Anul 2009, Milioane lei, 4969.2
Vaslui, Anul 2010, Milioane lei, 4903.9
Vaslui, Anul 2011, Milioane lei, 5063.7
Vaslui, Anul 2012, Milioane lei, 5825.4
Vaslui, Anul 2013, Milioane lei, 5836.4
Vaslui, Anul 2014, Milioane lei, 6006.5
Vaslui, Anul 2015, Milioane lei, 6297.2
Regiunea SUD-EST, Anul 2000, Milioane lei, 9554.8
Regiunea SUD-EST, Anul 2001, Milioane lei, 13867.9
Regiunea SUD-EST, Anul 2002, Milioane lei, 17928.4
Regiunea SUD-EST, Anul 2003, Milioane lei, 22900.7
Regiunea SUD-EST, Anul 2004, Milioane lei, 29531.2
Regiunea SUD-EST, Anul 2005, Milioane lei, 32959.9
Regiunea SUD-EST, Anul 2006, Milioane lei, 39068.1
Regiunea SUD-EST, Anul 2007, Milioane lei, 46294.8
Regiunea SUD-EST, Anul 2008, Milioane lei, 55808.8
Regiunea SUD-EST, Anul 2009, Milioane lei, 55693.3
Regiunea SUD-EST, Anul 2010, Milioane lei, 56363.6
Regiunea SUD-EST, Anul 2011, Milioane lei, 61930.9
Regiunea SUD-EST, Anul 2012, Milioane lei, 64813.5
Regiunea SUD-EST, Anul 2013, Milioane lei, 72153.7
Regiunea SUD-EST, Anul 2014, Milioane lei, 75239.3
Regiunea SUD-EST, Anul 2015, Milioane lei, 76184.3
Braila, Anul 2000, Milioane lei, 1032.1
Braila, Anul 2001, Milioane lei, 1588.3
Braila, Anul 2002, Milioane lei, 2081.4
Braila, Anul 2003, Milioane lei, 2622.5
Braila, Anul 2004, Milioane lei, 3367.4
Braila, Anul 2005, Milioane lei, 3633.1
Braila, Anul 2006, Milioane lei, 4451.3
Braila, Anul 2007, Milioane lei, 5859.3
Braila, Anul 2008, Milioane lei, 6945.2
Braila, Anul 2009, Milioane lei, 7107.2
Braila, Anul 2010, Milioane lei, 6164.1
Braila, Anul 2011, Milioane lei, 6992.3
Braila, Anul 2012, Milioane lei, 6952.9
Braila, Anul 2013, Milioane lei, 7442.7
Braila, Anul 2014, Milioane lei, 7357.1
Braila, Anul 2015, Milioane lei, 7712.4
Buzau, Anul 2000, Milioane lei, 1294.2
Buzau, Anul 2001, Milioane lei, 1965
Buzau, Anul 2002, Milioane lei, 2367.3
Buzau, Anul 2003, Milioane lei, 3378.9
Buzau, Anul 2004, Milioane lei, 4324.8
Buzau, Anul 2005, Milioane lei, 4403.7
Buzau, Anul 2006, Milioane lei, 5317.1
Buzau, Anul 2007, Milioane lei, 6408.2
Buzau, Anul 2008, Milioane lei, 8207.1
Buzau, Anul 2009, Milioane lei, 8027.7
Buzau, Anul 2010, Milioane lei, 7906.6
Buzau, Anul 2011, Milioane lei, 8076.6
Buzau, Anul 2012, Milioane lei, 8741.8
Buzau, Anul 2013, Milioane lei, 9614.3
Buzau, Anul 2014, Milioane lei, 9431.1
Buzau, Anul 2015, Milioane lei, 10258.8
Constanta, Anul 2000, Milioane lei, 3491.1
Constanta, Anul 2001, Milioane lei, 4930.3
Constanta, Anul 2002, Milioane lei, 6697.5
Constanta, Anul 2003, Milioane lei, 8306.1
Constanta, Anul 2004, Milioane lei, 10506.5
Constanta, Anul 2005, Milioane lei, 12738
Constanta, Anul 2006, Milioane lei, 15008.2
Constanta, Anul 2007, Milioane lei, 16907.6
Constanta, Anul 2008, Milioane lei, 19700.5
Constanta, Anul 2009, Milioane lei, 20671.1
Constanta, Anul 2010, Milioane lei, 21166.8
Constanta, Anul 2011, Milioane lei, 24938.7
Constanta, Anul 2012, Milioane lei, 26648
Constanta, Anul 2013, Milioane lei, 30908
Constanta, Anul 2014, Milioane lei, 33901.5
Constanta, Anul 2015, Milioane lei, 32782.9
Galati, Anul 2000, Milioane lei, 1966
Galati, Anul 2001, Milioane lei, 2917.6
Galati, Anul 2002, Milioane lei, 3539.3
Galati, Anul 2003, Milioane lei, 4441.8
Galati, Anul 2004, Milioane lei, 5992.6
Galati, Anul 2005, Milioane lei, 6569.4
Galati, Anul 2006, Milioane lei, 7226
Galati, Anul 2007, Milioane lei, 9157.6
Galati, Anul 2008, Milioane lei, 10908
Galati, Anul 2009, Milioane lei, 10150.2
Galati, Anul 2010, Milioane lei, 10891.6
Galati, Anul 2011, Milioane lei, 10982.2
Galati, Anul 2012, Milioane lei, 11317.5
Galati, Anul 2013, Milioane lei, 12245.3
Galati, Anul 2014, Milioane lei, 12649.1
Galati, Anul 2015, Milioane lei, 12615.8
Tulcea, Anul 2000, Milioane lei, 653.4
Tulcea, Anul 2001, Milioane lei, 1011.6
Tulcea, Anul 2002, Milioane lei, 1365.5
Tulcea, Anul 2003, Milioane lei, 1865.1
Tulcea, Anul 2004, Milioane lei, 2305.8
Tulcea, Anul 2005, Milioane lei, 2467.1
Tulcea, Anul 2006, Milioane lei, 2967.7
Tulcea, Anul 2007, Milioane lei, 3278.7
Tulcea, Anul 2008, Milioane lei, 4289.1
Tulcea, Anul 2009, Milioane lei, 4162
Tulcea, Anul 2010, Milioane lei, 4480.3
Tulcea, Anul 2011, Milioane lei, 5251.3
Tulcea, Anul 2012, Milioane lei, 4909.1
Tulcea, Anul 2013, Milioane lei, 5287.8
Tulcea, Anul 2014, Milioane lei, 5151.6
Tulcea, Anul 2015, Milioane lei, 5518.3
Vrancea, Anul 2000, Milioane lei, 1118
Vrancea, Anul 2001, Milioane lei, 1455.1
Vrancea, Anul 2002, Milioane lei, 1877.4
Vrancea, Anul 2003, Milioane lei, 2286.3
Vrancea, Anul 2004, Milioane lei, 3034.1
Vrancea, Anul 2005, Milioane lei, 3148.6
Vrancea, Anul 2006, Milioane lei, 4097.8
Vrancea, Anul 2007, Milioane lei, 4683.4
Vrancea, Anul 2008, Milioane lei, 5758.9
Vrancea, Anul 2009, Milioane lei, 5575.1
Vrancea, Anul 2010, Milioane lei, 5754.2
Vrancea, Anul 2011, Milioane lei, 5689.8
Vrancea, Anul 2012, Milioane lei, 6244.2
Vrancea, Anul 2013, Milioane lei, 6655.6
Vrancea, Anul 2014, Milioane lei, 6748.9
Vrancea, Anul 2015, Milioane lei, 7296.1
MACROREGIUNEA TREI, Anul 2000, Milioane lei, 28264.1
MACROREGIUNEA TREI, Anul 2001, Milioane lei, 40264.6
MACROREGIUNEA TREI, Anul 2002, Milioane lei, 52016.9
MACROREGIUNEA TREI, Anul 2003, Milioane lei, 67259.1
MACROREGIUNEA TREI, Anul 2004, Milioane lei, 85481.6
MACROREGIUNEA TREI, Anul 2005, Milioane lei, 106098.3
MACROREGIUNEA TREI, Anul 2006, Milioane lei, 125174.6
MACROREGIUNEA TREI, Anul 2007, Milioane lei, 156939.6
MACROREGIUNEA TREI, Anul 2008, Milioane lei, 208217.7
MACROREGIUNEA TREI, Anul 2009, Milioane lei, 198695.6
MACROREGIUNEA TREI, Anul 2010, Milioane lei, 198243.3
MACROREGIUNEA TREI, Anul 2011, Milioane lei, 220192.4
MACROREGIUNEA TREI, Anul 2012, Milioane lei, 228780.9
MACROREGIUNEA TREI, Anul 2013, Milioane lei, 248648.3
MACROREGIUNEA TREI, Anul 2014, Milioane lei, 265736.6
MACROREGIUNEA TREI, Anul 2015, Milioane lei, 284435.6
Regiunea SUD-MUNTENIA, Anul 2000, Milioane lei, 9973.1
Regiunea SUD-MUNTENIA, Anul 2001, Milioane lei, 15229.8
Regiunea SUD-MUNTENIA, Anul 2002, Milioane lei, 19318
Regiunea SUD-MUNTENIA, Anul 2003, Milioane lei, 24866.1
Regiunea SUD-MUNTENIA, Anul 2004, Milioane lei, 32191.3
