
Gruparea dupa ocupatie a numarului de salariati din cercetare-dezvoltare, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Bihor, Anul 2014, Numar persoane, 68
Total, Bihor, Anul 2015, Numar persoane, 160
Total, Bihor, Anul 2016, Numar persoane, 60
Total, Bistrita-Nasaud, Anul 1995, Numar persoane, 17
Total, Bistrita-Nasaud, Anul 1996, Numar persoane, 146
Total, Bistrita-Nasaud, Anul 1997, Numar persoane, 176
Total, Bistrita-Nasaud, Anul 1998, Numar persoane, 141
Total, Bistrita-Nasaud, Anul 1999, Numar persoane, 269
Total, Bistrita-Nasaud, Anul 2000, Numar persoane, 122
Total, Bistrita-Nasaud, Anul 2001, Numar persoane, 85
Total, Bistrita-Nasaud, Anul 2002, Numar persoane, 112
Total, Bistrita-Nasaud, Anul 2003, Numar persoane, 159
Total, Bistrita-Nasaud, Anul 2004, Numar persoane, 160
Total, Bistrita-Nasaud, Anul 2005, Numar persoane, 182
Total, Bistrita-Nasaud, Anul 2006, Numar persoane, 174
Total, Bistrita-Nasaud, Anul 2007, Numar persoane, 185
Total, Bistrita-Nasaud, Anul 2008, Numar persoane, 168
Total, Bistrita-Nasaud, Anul 2009, Numar persoane, 199
Total, Bistrita-Nasaud, Anul 2010, Numar persoane, 182
Total, Bistrita-Nasaud, Anul 2011, Numar persoane, 112
Total, Bistrita-Nasaud, Anul 2012, Numar persoane, 129
Total, Bistrita-Nasaud, Anul 2013, Numar persoane, 232
Total, Bistrita-Nasaud, Anul 2014, Numar persoane, 238
Total, Bistrita-Nasaud, Anul 2015, Numar persoane, 176
Total, Bistrita-Nasaud, Anul 2016, Numar persoane, 174
Total, Cluj, Anul 1995, Numar persoane, 1919
Total, Cluj, Anul 1996, Numar persoane, 2537
Total, Cluj, Anul 1997, Numar persoane, 2650
Total, Cluj, Anul 1998, Numar persoane, 1929
Total, Cluj, Anul 1999, Numar persoane, 1386
Total, Cluj, Anul 2000, Numar persoane, 1160
Total, Cluj, Anul 2001, Numar persoane, 1796
Total, Cluj, Anul 2002, Numar persoane, 1665
Total, Cluj, Anul 2003, Numar persoane, 1926
Total, Cluj, Anul 2004, Numar persoane, 1805
Total, Cluj, Anul 2005, Numar persoane, 2080
Total, Cluj, Anul 2006, Numar persoane, 2922
Total, Cluj, Anul 2007, Numar persoane, 3008
Total, Cluj, Anul 2008, Numar persoane, 3339
Total, Cluj, Anul 2009, Numar persoane, 3290
Total, Cluj, Anul 2010, Numar persoane, 3098
Total, Cluj, Anul 2011, Numar persoane, 3393
Total, Cluj, Anul 2012, Numar persoane, 3123
Total, Cluj, Anul 2013, Numar persoane, 2660
Total, Cluj, Anul 2014, Numar persoane, 3097
Total, Cluj, Anul 2015, Numar persoane, 2866
Total, Cluj, Anul 2016, Numar persoane, 2859
Total, Maramures, Anul 1995, Numar persoane, 445
Total, Maramures, Anul 1996, Numar persoane, 444
Total, Maramures, Anul 1997, Numar persoane, 470
Total, Maramures, Anul 1998, Numar persoane, 243
Total, Maramures, Anul 1999, Numar persoane, 161
Total, Maramures, Anul 2000, Numar persoane, 245
Total, Maramures, Anul 2001, Numar persoane, 255
Total, Maramures, Anul 2002, Numar persoane, 242
Total, Maramures, Anul 2003, Numar persoane, 137
Total, Maramures, Anul 2004, Numar persoane, 93
Total, Maramures, Anul 2005, Numar persoane, 92
Total, Maramures, Anul 2006, Numar persoane, 99
Total, Maramures, Anul 2007, Numar persoane, 179
Total, Maramures, Anul 2008, Numar persoane, 147
Total, Maramures, Anul 2009, Numar persoane, 136
Total, Maramures, Anul 2010, Numar persoane, 139
Total, Maramures, Anul 2011, Numar persoane, 151
Total, Maramures, Anul 2012, Numar persoane, 124
Total, Maramures, Anul 2013, Numar persoane, 33
Total, Maramures, Anul 2014, Numar persoane, 29
Total, Maramures, Anul 2015, Numar persoane, 22
Total, Maramures, Anul 2016, Numar persoane, 20
Total, Satu Mare, Anul 1995, Numar persoane, 377
Total, Satu Mare, Anul 1996, Numar persoane, 306
Total, Satu Mare, Anul 1997, Numar persoane, 340
Total, Satu Mare, Anul 1998, Numar persoane, 310
Total, Satu Mare, Anul 1999, Numar persoane, 193
Total, Satu Mare, Anul 2000, Numar persoane, 172
Total, Satu Mare, Anul 2001, Numar persoane, 150
Total, Satu Mare, Anul 2002, Numar persoane, 184
Total, Satu Mare, Anul 2003, Numar persoane, 123
Total, Satu Mare, Anul 2004, Numar persoane, 108
Total, Satu Mare, Anul 2005, Numar persoane, 92
Total, Satu Mare, Anul 2006, Numar persoane, 68
Total, Satu Mare, Anul 2007, Numar persoane, 48
Total, Satu Mare, Anul 2008, Numar persoane, 54
Total, Satu Mare, Anul 2009, Numar persoane, 29
Total, Satu Mare, Anul 2010, Numar persoane, 26
Total, Satu Mare, Anul 2011, Numar persoane, 23
Total, Satu Mare, Anul 2012, Numar persoane, 86
Total, Satu Mare, Anul 2013, Numar persoane, 100
Total, Satu Mare, Anul 2014, Numar persoane, 24
Total, Satu Mare, Anul 2015, Numar persoane, 27
Total, Satu Mare, Anul 2016, Numar persoane, 44
Total, Salaj, Anul 1995, Numar persoane, 91
Total, Salaj, Anul 1996, Numar persoane, 208
Total, Salaj, Anul 1997, Numar persoane, 221
Total, Salaj, Anul 1998, Numar persoane, 202
Total, Salaj, Anul 1999, Numar persoane, 142
Total, Salaj, Anul 2000, Numar persoane, 139
Total, Salaj, Anul 2001, Numar persoane, 140
Total, Salaj, Anul 2002, Numar persoane, 124
Total, Salaj, Anul 2003, Numar persoane, 148
Total, Salaj, Anul 2004, Numar persoane, 15
Total, Salaj, Anul 2005, Numar persoane, 67
Total, Salaj, Anul 2006, Numar persoane, 17
Total, Salaj, Anul 2009, Numar persoane, 2
Total, Salaj, Anul 2010, Numar persoane, 2
Total, Salaj, Anul 2011, Numar persoane, 44
Total, Salaj, Anul 2012, Numar persoane, 41
Total, Salaj, Anul 2013, Numar persoane, 38
Total, Salaj, Anul 2014, Numar persoane, 29
Total, Salaj, Anul 2015, Numar persoane, 26
Total, Salaj, Anul 2016, Numar persoane, 18
Total, Regiunea CENTRU, Anul 1995, Numar persoane, 2995
Total, Regiunea CENTRU, Anul 1996, Numar persoane, 2662
Total, Regiunea CENTRU, Anul 1997, Numar persoane, 4512
Total, Regiunea CENTRU, Anul 1998, Numar persoane, 5085
Total, Regiunea CENTRU, Anul 1999, Numar persoane, 4366
Total, Regiunea CENTRU, Anul 2000, Numar persoane, 3815
Total, Regiunea CENTRU, Anul 2001, Numar persoane, 3691
Total, Regiunea CENTRU, Anul 2002, Numar persoane, 4280
Total, Regiunea CENTRU, Anul 2003, Numar persoane, 3479
Total, Regiunea CENTRU, Anul 2004, Numar persoane, 2508
Total, Regiunea CENTRU, Anul 2005, Numar persoane, 2419
Total, Regiunea CENTRU, Anul 2006, Numar persoane, 2865
Total, Regiunea CENTRU, Anul 2007, Numar persoane, 2641
Total, Regiunea CENTRU, Anul 2008, Numar persoane, 2897
Total, Regiunea CENTRU, Anul 2009, Numar persoane, 3732
Total, Regiunea CENTRU, Anul 2010, Numar persoane, 3113
Total, Regiunea CENTRU, Anul 2011, Numar persoane, 3526
Total, Regiunea CENTRU, Anul 2012, Numar persoane, 2973
Total, Regiunea CENTRU, Anul 2013, Numar persoane, 2683
Total, Regiunea CENTRU, Anul 2014, Numar persoane, 3885
Total, Regiunea CENTRU, Anul 2015, Numar persoane, 3728
Total, Regiunea CENTRU, Anul 2016, Numar persoane, 4072
Total, Alba, Anul 1995, Numar persoane, 84
Total, Alba, Anul 1996, Numar persoane, 208
Total, Alba, Anul 1997, Numar persoane, 520
Total, Alba, Anul 1998, Numar persoane, 534
Total, Alba, Anul 1999, Numar persoane, 423
Total, Alba, Anul 2000, Numar persoane, 437
Total, Alba, Anul 2001, Numar persoane, 347
Total, Alba, Anul 2002, Numar persoane, 515
Total, Alba, Anul 2003, Numar persoane, 374
Total, Alba, Anul 2004, Numar persoane, 107
Total, Alba, Anul 2005, Numar persoane, 95
Total, Alba, Anul 2006, Numar persoane, 129
Total, Alba, Anul 2007, Numar persoane, 259
Total, Alba, Anul 2008, Numar persoane, 266
Total, Alba, Anul 2009, Numar persoane, 244
Total, Alba, Anul 2010, Numar persoane, 243
Total, Alba, Anul 2011, Numar persoane, 276
Total, Alba, Anul 2012, Numar persoane, 250
Total, Alba, Anul 2013, Numar persoane, 277
Total, Alba, Anul 2014, Numar persoane, 255
Total, Alba, Anul 2015, Numar persoane, 243
Total, Alba, Anul 2016, Numar persoane, 248
Total, Brasov, Anul 1995, Numar persoane, 2154
Total, Brasov, Anul 1996, Numar persoane, 1292
Total, Brasov, Anul 1997, Numar persoane, 2455
Total, Brasov, Anul 1998, Numar persoane, 3198
Total, Brasov, Anul 1999, Numar persoane, 2890
Total, Brasov, Anul 2000, Numar persoane, 2330
Total, Brasov, Anul 2001, Numar persoane, 2280
Total, Brasov, Anul 2002, Numar persoane, 2257
Total, Brasov, Anul 2003, Numar persoane, 1747
Total, Brasov, Anul 2004, Numar persoane, 1105
Total, Brasov, Anul 2005, Numar persoane, 948
Total, Brasov, Anul 2006, Numar persoane, 1575
Total, Brasov, Anul 2007, Numar persoane, 1378
Total, Brasov, Anul 2008, Numar persoane, 1545
Total, Brasov, Anul 2009, Numar persoane, 1962
Total, Brasov, Anul 2010, Numar persoane, 1799
Total, Brasov, Anul 2011, Numar persoane, 2259
Total, Brasov, Anul 2012, Numar persoane, 1824
Total, Brasov, Anul 2013, Numar persoane, 1604
Total, Brasov, Anul 2014, Numar persoane, 1583
Total, Brasov, Anul 2015, Numar persoane, 1400
Total, Brasov, Anul 2016, Numar persoane, 1563
Total, Covasna, Anul 1995, Numar persoane, 18
Total, Covasna, Anul 1996, Numar persoane, 23
Total, Covasna, Anul 1997, Numar persoane, 122
Total, Covasna, Anul 1998, Numar persoane, 119
Total, Covasna, Anul 1999, Numar persoane, 84
Total, Covasna, Anul 2000, Numar persoane, 92
Total, Covasna, Anul 2001, Numar persoane, 71
Total, Covasna, Anul 2002, Numar persoane, 107
Total, Covasna, Anul 2003, Numar persoane, 87
Total, Covasna, Anul 2004, Numar persoane, 61
Total, Covasna, Anul 2005, Numar persoane, 68
Total, Covasna, Anul 2006, Numar persoane, 63
Total, Covasna, Anul 2007, Numar persoane, 34
Total, Covasna, Anul 2008, Numar persoane, 37
Total, Covasna, Anul 2009, Numar persoane, 32
Total, Covasna, Anul 2010, Numar persoane, 42
Total, Covasna, Anul 2011, Numar persoane, 47
Total, Covasna, Anul 2012, Numar persoane, 55
Total, Covasna, Anul 2013, Numar persoane, 38
Total, Covasna, Anul 2014, Numar persoane, 49
Total, Covasna, Anul 2015, Numar persoane, 73
Total, Covasna, Anul 2016, Numar persoane, 54
Total, Harghita, Anul 1995, Numar persoane, 78
Total, Harghita, Anul 1996, Numar persoane, 80
Total, Harghita, Anul 1997, Numar persoane, 82
Total, Harghita, Anul 1998, Numar persoane, 54
Total, Harghita, Anul 1999, Numar persoane, 52
Total, Harghita, Anul 2000, Numar persoane, 19
Total, Harghita, Anul 2001, Numar persoane, 18
Total, Harghita, Anul 2002, Numar persoane, 12
Total, Harghita, Anul 2003, Numar persoane, 9
Total, Harghita, Anul 2004, Numar persoane, 8
Total, Harghita, Anul 2005, Numar persoane, 3
Total, Harghita, Anul 2006, Numar persoane, 2
Total, Harghita, Anul 2007, Numar persoane, 42
Total, Harghita, Anul 2008, Numar persoane, 29
Total, Harghita, Anul 2009, Numar persoane, 29
Total, Harghita, Anul 2010, Numar persoane, 28
Total, Harghita, Anul 2011, Numar persoane, 19
Total, Harghita, Anul 2012, Numar persoane, 44
Total, Harghita, Anul 2013, Numar persoane, 15
Total, Harghita, Anul 2014, Numar persoane, 16
Total, Harghita, Anul 2015, Numar persoane, 38
Total, Harghita, Anul 2016, Numar persoane, 24
Total, Mures, Anul 1995, Numar persoane, 203
Total, Mures, Anul 1996, Numar persoane, 302
Total, Mures, Anul 1997, Numar persoane, 331
Total, Mures, Anul 1998, Numar persoane, 372
Total, Mures, Anul 1999, Numar persoane, 292
Total, Mures, Anul 2000, Numar persoane, 251
Total, Mures, Anul 2001, Numar persoane, 323
Total, Mures, Anul 2002, Numar persoane, 752
Total, Mures, Anul 2003, Numar persoane, 661
Total, Mures, Anul 2004, Numar persoane, 637
Total, Mures, Anul 2005, Numar persoane, 667
Total, Mures, Anul 2006, Numar persoane, 449
Total, Mures, Anul 2007, Numar persoane, 446
Total, Mures, Anul 2008, Numar persoane, 480
Total, Mures, Anul 2009, Numar persoane, 497
Total, Mures, Anul 2010, Numar persoane, 410
Total, Mures, Anul 2011, Numar persoane, 375
Total, Mures, Anul 2012, Numar persoane, 361
Total, Mures, Anul 2013, Numar persoane, 342
Total, Mures, Anul 2014, Numar persoane, 446
Total, Mures, Anul 2015, Numar persoane, 393
Total, Mures, Anul 2016, Numar persoane, 439
Total, Sibiu, Anul 1995, Numar persoane, 458
Total, Sibiu, Anul 1996, Numar persoane, 757
Total, Sibiu, Anul 1997, Numar persoane, 1002
Total, Sibiu, Anul 1998, Numar persoane, 808
Total, Sibiu, Anul 1999, Numar persoane, 625
Total, Sibiu, Anul 2000, Numar persoane, 686
Total, Sibiu, Anul 2001, Numar persoane, 652
Total, Sibiu, Anul 2002, Numar persoane, 637
Total, Sibiu, Anul 2003, Numar persoane, 601
Total, Sibiu, Anul 2004, Numar persoane, 590
Total, Sibiu, Anul 2005, Numar persoane, 638
Total, Sibiu, Anul 2006, Numar persoane, 647
Total, Sibiu, Anul 2007, Numar persoane, 482
Total, Sibiu, Anul 2008, Numar persoane, 540
Total, Sibiu, Anul 2009, Numar persoane, 968
Total, Sibiu, Anul 2010, Numar persoane, 591
Total, Sibiu, Anul 2011, Numar persoane, 550
Total, Sibiu, Anul 2012, Numar persoane, 439
Total, Sibiu, Anul 2013, Numar persoane, 407
Total, Sibiu, Anul 2014, Numar persoane, 1536
Total, Sibiu, Anul 2015, Numar persoane, 1581
Total, Sibiu, Anul 2016, Numar persoane, 1744
Total, MACROREGIUNEA DOI, Anul 1995, Numar persoane, 5984
Total, MACROREGIUNEA DOI, Anul 1996, Numar persoane, 7322
Total, MACROREGIUNEA DOI, Anul 1997, Numar persoane, 7029
Total, MACROREGIUNEA DOI, Anul 1998, Numar persoane, 6920
Total, MACROREGIUNEA DOI, Anul 1999, Numar persoane, 5748
Total, MACROREGIUNEA DOI, Anul 2000, Numar persoane, 5618
Total, MACROREGIUNEA DOI, Anul 2001, Numar persoane, 5794
Total, MACROREGIUNEA DOI, Anul 2002, Numar persoane, 5302
Total, MACROREGIUNEA DOI, Anul 2003, Numar persoane, 4860
Total, MACROREGIUNEA DOI, Anul 2004, Numar persoane, 5090
Total, MACROREGIUNEA DOI, Anul 2005, Numar persoane, 5602
Total, MACROREGIUNEA DOI, Anul 2006, Numar persoane, 6062
Total, MACROREGIUNEA DOI, Anul 2007, Numar persoane, 6357
Total, MACROREGIUNEA DOI, Anul 2008, Numar persoane, 6102
Total, MACROREGIUNEA DOI, Anul 2009, Numar persoane, 5909
Total, MACROREGIUNEA DOI, Anul 2010, Numar persoane, 5089
Total, MACROREGIUNEA DOI, Anul 2011, Numar persoane, 5076
Total, MACROREGIUNEA DOI, Anul 2012, Numar persoane, 5531
Total, MACROREGIUNEA DOI, Anul 2013, Numar persoane, 5911
Total, MACROREGIUNEA DOI, Anul 2014, Numar persoane, 5975
Total, MACROREGIUNEA DOI, Anul 2015, Numar persoane, 6321
Total, MACROREGIUNEA DOI, Anul 2016, Numar persoane, 6279
Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 3023
Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 4440
Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 4176
Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 4130
Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 3470
Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 3510
Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 3708
Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 3368
Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 2926
Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 3168
Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 3704
Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 3981
Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 4156
Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 4172
Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 4044
Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 3376
Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 3561
Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 3876
Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 4328
Total, Regiunea NORD-EST, Anul 2014, Numar persoane, 4319
Total, Regiunea NORD-EST, Anul 2015, Numar persoane, 4298
Total, Regiunea NORD-EST, Anul 2016, Numar persoane, 4129
Total, Bacau, Anul 1995, Numar persoane, 334
Total, Bacau, Anul 1996, Numar persoane, 492
Total, Bacau, Anul 1997, Numar persoane, 519
Total, Bacau, Anul 1998, Numar persoane, 572
Total, Bacau, Anul 1999, Numar persoane, 658
Total, Bacau, Anul 2000, Numar persoane, 652
Total, Bacau, Anul 2001, Numar persoane, 560
Total, Bacau, Anul 2002, Numar persoane, 551
Total, Bacau, Anul 2003, Numar persoane, 530
Total, Bacau, Anul 2004, Numar persoane, 591
Total, Bacau, Anul 2005, Numar persoane, 528
Total, Bacau, Anul 2006, Numar persoane, 504
Total, Bacau, Anul 2007, Numar persoane, 352
Total, Bacau, Anul 2008, Numar persoane, 341
Total, Bacau, Anul 2009, Numar persoane, 431
Total, Bacau, Anul 2010, Numar persoane, 293
Total, Bacau, Anul 2011, Numar persoane, 395
Total, Bacau, Anul 2012, Numar persoane, 346
Total, Bacau, Anul 2013, Numar persoane, 320
Total, Bacau, Anul 2014, Numar persoane, 331
Total, Bacau, Anul 2015, Numar persoane, 344
Total, Bacau, Anul 2016, Numar persoane, 379
Total, Botosani, Anul 1995, Numar persoane, 28
Total, Botosani, Anul 1996, Numar persoane, 122
Total, Botosani, Anul 1997, Numar persoane, 143
Total, Botosani, Anul 1998, Numar persoane, 148
Total, Botosani, Anul 1999, Numar persoane, 81
Total, Botosani, Anul 2000, Numar persoane, 74
Total, Botosani, Anul 2001, Numar persoane, 70
Total, Botosani, Anul 2002, Numar persoane, 55
Total, Botosani, Anul 2003, Numar persoane, 57
Total, Botosani, Anul 2004, Numar persoane, 55
Total, Botosani, Anul 2005, Numar persoane, 56
Total, Botosani, Anul 2006, Numar persoane, 51
Total, Botosani, Anul 2007, Numar persoane, 71
Total, Botosani, Anul 2008, Numar persoane, 58
Total, Botosani, Anul 2009, Numar persoane, 31
Total, Botosani, Anul 2010, Numar persoane, 40
Total, Botosani, Anul 2011, Numar persoane, 11
Total, Botosani, Anul 2012, Numar persoane, 11
Total, Botosani, Anul 2013, Numar persoane, 4
Total, Botosani, Anul 2014, Numar persoane, 4
Total, Botosani, Anul 2015, Numar persoane, 5
Total, Botosani, Anul 2016, Numar persoane, 4
Total, Iasi, Anul 1995, Numar persoane, 1577
Total, Iasi, Anul 1996, Numar persoane, 2834
Total, Iasi, Anul 1997, Numar persoane, 2472
Total, Iasi, Anul 1998, Numar persoane, 2627
Total, Iasi, Anul 1999, Numar persoane, 1943
Total, Iasi, Anul 2000, Numar persoane, 1968
Total, Iasi, Anul 2001, Numar persoane, 2099
Total, Iasi, Anul 2002, Numar persoane, 1874
Total, Iasi, Anul 2003, Numar persoane, 1463
Total, Iasi, Anul 2004, Numar persoane, 1673
Total, Iasi, Anul 2005, Numar persoane, 2329
Total, Iasi, Anul 2006, Numar persoane, 2651
Total, Iasi, Anul 2007, Numar persoane, 3013
Total, Iasi, Anul 2008, Numar persoane, 3040
Total, Iasi, Anul 2009, Numar persoane, 2899
Total, Iasi, Anul 2010, Numar persoane, 2398
Total, Iasi, Anul 2011, Numar persoane, 2573
Total, Iasi, Anul 2012, Numar persoane, 2863
Total, Iasi, Anul 2013, Numar persoane, 3242
Total, Iasi, Anul 2014, Numar persoane, 3102
Total, Iasi, Anul 2015, Numar persoane, 3128
Total, Iasi, Anul 2016, Numar persoane, 2843
Total, Neamt, Anul 1995, Numar persoane, 666
Total, Neamt, Anul 1996, Numar persoane, 531
Total, Neamt, Anul 1997, Numar persoane, 430
Total, Neamt, Anul 1998, Numar persoane, 341
Total, Neamt, Anul 1999, Numar persoane, 358
Total, Neamt, Anul 2000, Numar persoane, 312
Total, Neamt, Anul 2001, Numar persoane, 328
Total, Neamt, Anul 2002, Numar persoane, 316
Total, Neamt, Anul 2003, Numar persoane, 230
Total, Neamt, Anul 2004, Numar persoane, 250
Total, Neamt, Anul 2005, Numar persoane, 185
Total, Neamt, Anul 2006, Numar persoane, 186
Total, Neamt, Anul 2007, Numar persoane, 120
Total, Neamt, Anul 2008, Numar persoane, 152
Total, Neamt, Anul 2009, Numar persoane, 179
Total, Neamt, Anul 2010, Numar persoane, 144
Total, Neamt, Anul 2011, Numar persoane, 96
Total, Neamt, Anul 2012, Numar persoane, 147
Total, Neamt, Anul 2013, Numar persoane, 149
Total, Neamt, Anul 2014, Numar persoane, 188
Total, Neamt, Anul 2015, Numar persoane, 167
Total, Neamt, Anul 2016, Numar persoane, 182
Total, Suceava, Anul 1995, Numar persoane, 214
Total, Suceava, Anul 1996, Numar persoane, 275
Total, Suceava, Anul 1997, Numar persoane, 353
Total, Suceava, Anul 1998, Numar persoane, 286
Total, Suceava, Anul 1999, Numar persoane, 257
Total, Suceava, Anul 2000, Numar persoane, 369
Total, Suceava, Anul 2001, Numar persoane, 546
Total, Suceava, Anul 2002, Numar persoane, 506
Total, Suceava, Anul 2003, Numar persoane, 511
Total, Suceava, Anul 2004, Numar persoane, 485
Total, Suceava, Anul 2005, Numar persoane, 516
Total, Suceava, Anul 2006, Numar persoane, 500
Total, Suceava, Anul 2007, Numar persoane, 512
Total, Suceava, Anul 2008, Numar persoane, 491
Total, Suceava, Anul 2009, Numar persoane, 445
Total, Suceava, Anul 2010, Numar persoane, 433
Total, Suceava, Anul 2011, Numar persoane, 426
Total, Suceava, Anul 2012, Numar persoane, 430
Total, Suceava, Anul 2013, Numar persoane, 544
Total, Suceava, Anul 2014, Numar persoane, 574
Total, Suceava, Anul 2015, Numar persoane, 540
Total, Suceava, Anul 2016, Numar persoane, 598
