
Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Procente, Valoare
Total, MACROREGIUNEA UNU, Anul 2005, Procente, 5.6
Total, MACROREGIUNEA UNU, Anul 2006, Procente, 4.8
Total, MACROREGIUNEA UNU, Anul 2007, Procente, 3.8
Total, MACROREGIUNEA UNU, Anul 2008, Procente, 4.2
Total, MACROREGIUNEA UNU, Anul 2009, Procente, 8.1
Total, MACROREGIUNEA UNU, Anul 2010, Procente, 6.9
Total, MACROREGIUNEA UNU, Anul 2011, Procente, 5.2
Total, MACROREGIUNEA UNU, Anul 2012, Procente, 5.2
Total, MACROREGIUNEA UNU, Anul 2013, Procente, 5.2
Total, MACROREGIUNEA UNU, Anul 2014, Procente, 4.6
Total, MACROREGIUNEA UNU, Anul 2015, Procente, 4
Total, MACROREGIUNEA UNU, Anul 2016, Procente, 3.8
Total, MACROREGIUNEA UNU, Anul 2017, Procente, 3.1
Total, Regiunea NORD-VEST, Anul 1991, Procente, 3.2
Total, Regiunea NORD-VEST, Anul 1992, Procente, 8.9
Total, Regiunea NORD-VEST, Anul 1993, Procente, 9.8
Total, Regiunea NORD-VEST, Anul 1994, Procente, 10.1
Total, Regiunea NORD-VEST, Anul 1995, Procente, 8.6
Total, Regiunea NORD-VEST, Anul 1996, Procente, 5.6
Total, Regiunea NORD-VEST, Anul 1997, Procente, 8.1
Total, Regiunea NORD-VEST, Anul 1998, Procente, 8.8
Total, Regiunea NORD-VEST, Anul 1999, Procente, 10
Total, Regiunea NORD-VEST, Anul 2000, Procente, 8.5
Total, Regiunea NORD-VEST, Anul 2001, Procente, 6.8
Total, Regiunea NORD-VEST, Anul 2002, Procente, 6.8
Total, Regiunea NORD-VEST, Anul 2003, Procente, 5.4
Total, Regiunea NORD-VEST, Anul 2004, Procente, 4.2
Total, Regiunea NORD-VEST, Anul 2005, Procente, 4
Total, Regiunea NORD-VEST, Anul 2006, Procente, 3.6
Total, Regiunea NORD-VEST, Anul 2007, Procente, 2.9
Total, Regiunea NORD-VEST, Anul 2008, Procente, 3.3
Total, Regiunea NORD-VEST, Anul 2009, Procente, 6.8
Total, Regiunea NORD-VEST, Anul 2010, Procente, 5.9
Total, Regiunea NORD-VEST, Anul 2011, Procente, 4.4
Total, Regiunea NORD-VEST, Anul 2012, Procente, 4.4
Total, Regiunea NORD-VEST, Anul 2013, Procente, 4.1
Total, Regiunea NORD-VEST, Anul 2014, Procente, 3.8
Total, Regiunea NORD-VEST, Anul 2015, Procente, 3.4
Total, Regiunea NORD-VEST, Anul 2016, Procente, 3.2
Total, Regiunea NORD-VEST, Anul 2017, Procente, 2.8
Total, Bihor, Anul 1991, Procente, 2.2
Total, Bihor, Anul 1992, Procente, 7.4
Total, Bihor, Anul 1993, Procente, 7.6
Total, Bihor, Anul 1994, Procente, 7.3
Total, Bihor, Anul 1995, Procente, 6
Total, Bihor, Anul 1996, Procente, 2.7
Total, Bihor, Anul 1997, Procente, 4
Total, Bihor, Anul 1998, Procente, 5.1
Total, Bihor, Anul 1999, Procente, 6
Total, Bihor, Anul 2000, Procente, 4.6
Total, Bihor, Anul 2001, Procente, 3.1
Total, Bihor, Anul 2002, Procente, 3.2
Total, Bihor, Anul 2003, Procente, 2.5
Total, Bihor, Anul 2004, Procente, 2.1
Total, Bihor, Anul 2005, Procente, 2.7
Total, Bihor, Anul 2006, Procente, 2.7
Total, Bihor, Anul 2007, Procente, 2.4
Total, Bihor, Anul 2008, Procente, 3
Total, Bihor, Anul 2009, Procente, 5.8
Total, Bihor, Anul 2010, Procente, 5.9
Total, Bihor, Anul 2011, Procente, 4.2
Total, Bihor, Anul 2012, Procente, 4.2
Total, Bihor, Anul 2013, Procente, 3.7
Total, Bihor, Anul 2014, Procente, 3.7
Total, Bihor, Anul 2015, Procente, 3.5
Total, Bihor, Anul 2016, Procente, 3.1
Total, Bihor, Anul 2017, Procente, 2.4
Total, Bistrita-Nasaud, Anul 1991, Procente, 5.7
Total, Bistrita-Nasaud, Anul 1992, Procente, 16.1
Total, Bistrita-Nasaud, Anul 1993, Procente, 20.9
Total, Bistrita-Nasaud, Anul 1994, Procente, 19.3
Total, Bistrita-Nasaud, Anul 1995, Procente, 15.3
Total, Bistrita-Nasaud, Anul 1996, Procente, 8.4
Total, Bistrita-Nasaud, Anul 1997, Procente, 11.1
Total, Bistrita-Nasaud, Anul 1998, Procente, 13
Total, Bistrita-Nasaud, Anul 1999, Procente, 14.1
Total, Bistrita-Nasaud, Anul 2000, Procente, 12.7
Total, Bistrita-Nasaud, Anul 2001, Procente, 11.2
Total, Bistrita-Nasaud, Anul 2002, Procente, 10
Total, Bistrita-Nasaud, Anul 2003, Procente, 7.5
Total, Bistrita-Nasaud, Anul 2004, Procente, 6.4
Total, Bistrita-Nasaud, Anul 2005, Procente, 4.3
Total, Bistrita-Nasaud, Anul 2006, Procente, 3.2
Total, Bistrita-Nasaud, Anul 2007, Procente, 2.4
Total, Bistrita-Nasaud, Anul 2008, Procente, 2.7
Total, Bistrita-Nasaud, Anul 2009, Procente, 8.2
Total, Bistrita-Nasaud, Anul 2010, Procente, 6.4
Total, Bistrita-Nasaud, Anul 2011, Procente, 4.9
Total, Bistrita-Nasaud, Anul 2012, Procente, 4.8
Total, Bistrita-Nasaud, Anul 2013, Procente, 4.9
Total, Bistrita-Nasaud, Anul 2014, Procente, 4.5
Total, Bistrita-Nasaud, Anul 2015, Procente, 3.5
Total, Bistrita-Nasaud, Anul 2016, Procente, 3.7
Total, Bistrita-Nasaud, Anul 2017, Procente, 3.1
Total, Cluj, Anul 1991, Procente, 2.6
Total, Cluj, Anul 1992, Procente, 8
Total, Cluj, Anul 1993, Procente, 7.5
Total, Cluj, Anul 1994, Procente, 9.7
Total, Cluj, Anul 1995, Procente, 9.4
Total, Cluj, Anul 1996, Procente, 8.1
Total, Cluj, Anul 1997, Procente, 9.1
Total, Cluj, Anul 1998, Procente, 10.4
Total, Cluj, Anul 1999, Procente, 12.1
Total, Cluj, Anul 2000, Procente, 11.3
Total, Cluj, Anul 2001, Procente, 9.4
Total, Cluj, Anul 2002, Procente, 10
Total, Cluj, Anul 2003, Procente, 7.6
Total, Cluj, Anul 2004, Procente, 5.1
Total, Cluj, Anul 2005, Procente, 4.4
Total, Cluj, Anul 2006, Procente, 3.4
Total, Cluj, Anul 2007, Procente, 3
Total, Cluj, Anul 2008, Procente, 2.9
Total, Cluj, Anul 2009, Procente, 6.3
Total, Cluj, Anul 2010, Procente, 4.9
Total, Cluj, Anul 2011, Procente, 3.8
Total, Cluj, Anul 2012, Procente, 3.8
Total, Cluj, Anul 2013, Procente, 3.5
Total, Cluj, Anul 2014, Procente, 2.8
Total, Cluj, Anul 2015, Procente, 2.3
Total, Cluj, Anul 2016, Procente, 2.2
Total, Cluj, Anul 2017, Procente, 2
Total, Maramures, Anul 1991, Procente, 3.4
Total, Maramures, Anul 1992, Procente, 7.2
Total, Maramures, Anul 1993, Procente, 8.2
Total, Maramures, Anul 1994, Procente, 9.2
Total, Maramures, Anul 1995, Procente, 7.2
Total, Maramures, Anul 1996, Procente, 2.8
Total, Maramures, Anul 1997, Procente, 10.6
Total, Maramures, Anul 1998, Procente, 8.8
Total, Maramures, Anul 1999, Procente, 9.9
Total, Maramures, Anul 2000, Procente, 9.2
Total, Maramures, Anul 2001, Procente, 6.9
Total, Maramures, Anul 2002, Procente, 6.5
Total, Maramures, Anul 2003, Procente, 5.4
Total, Maramures, Anul 2004, Procente, 4.6
Total, Maramures, Anul 2005, Procente, 4.5
Total, Maramures, Anul 2006, Procente, 4
Total, Maramures, Anul 2007, Procente, 3.4
Total, Maramures, Anul 2008, Procente, 3.7
Total, Maramures, Anul 2009, Procente, 6.4
Total, Maramures, Anul 2010, Procente, 6
Total, Maramures, Anul 2011, Procente, 4.1
Total, Maramures, Anul 2012, Procente, 4.1
Total, Maramures, Anul 2013, Procente, 3.9
Total, Maramures, Anul 2014, Procente, 3.5
Total, Maramures, Anul 2015, Procente, 3.5
Total, Maramures, Anul 2016, Procente, 3.3
Total, Maramures, Anul 2017, Procente, 3.1
Total, Satu Mare, Anul 1991, Procente, 3.1
Total, Satu Mare, Anul 1992, Procente, 8.8
Total, Satu Mare, Anul 1993, Procente, 9.3
Total, Satu Mare, Anul 1994, Procente, 8.4
Total, Satu Mare, Anul 1995, Procente, 6.5
Total, Satu Mare, Anul 1996, Procente, 4.7
Total, Satu Mare, Anul 1997, Procente, 4.8
Total, Satu Mare, Anul 1998, Procente, 5.4
Total, Satu Mare, Anul 1999, Procente, 6.3
Total, Satu Mare, Anul 2000, Procente, 4.5
Total, Satu Mare, Anul 2001, Procente, 3.1
Total, Satu Mare, Anul 2002, Procente, 4
Total, Satu Mare, Anul 2003, Procente, 2.8
Total, Satu Mare, Anul 2004, Procente, 2
Total, Satu Mare, Anul 2005, Procente, 3.4
Total, Satu Mare, Anul 2006, Procente, 3.4
Total, Satu Mare, Anul 2007, Procente, 2.6
Total, Satu Mare, Anul 2008, Procente, 3
Total, Satu Mare, Anul 2009, Procente, 6.5
Total, Satu Mare, Anul 2010, Procente, 6.1
Total, Satu Mare, Anul 2011, Procente, 4.6
Total, Satu Mare, Anul 2012, Procente, 4.8
Total, Satu Mare, Anul 2013, Procente, 4.6
Total, Satu Mare, Anul 2014, Procente, 4.4
Total, Satu Mare, Anul 2015, Procente, 4
Total, Satu Mare, Anul 2016, Procente, 4.2
Total, Satu Mare, Anul 2017, Procente, 3.2
Total, Salaj, Anul 1991, Procente, 4.2
Total, Salaj, Anul 1992, Procente, 10.7
Total, Salaj, Anul 1993, Procente, 12.6
Total, Salaj, Anul 1994, Procente, 11.6
Total, Salaj, Anul 1995, Procente, 10.3
Total, Salaj, Anul 1996, Procente, 7.7
Total, Salaj, Anul 1997, Procente, 9.9
Total, Salaj, Anul 1998, Procente, 13.5
Total, Salaj, Anul 1999, Procente, 13.1
Total, Salaj, Anul 2000, Procente, 10
Total, Salaj, Anul 2001, Procente, 9
Total, Salaj, Anul 2002, Procente, 7.3
Total, Salaj, Anul 2003, Procente, 7.3
Total, Salaj, Anul 2004, Procente, 6.2
Total, Salaj, Anul 2005, Procente, 6.1
Total, Salaj, Anul 2006, Procente, 6.3
Total, Salaj, Anul 2007, Procente, 4.4
Total, Salaj, Anul 2008, Procente, 5.5
Total, Salaj, Anul 2009, Procente, 10.3
Total, Salaj, Anul 2010, Procente, 8.4
Total, Salaj, Anul 2011, Procente, 6.5
Total, Salaj, Anul 2012, Procente, 6.2
Total, Salaj, Anul 2013, Procente, 6.2
Total, Salaj, Anul 2014, Procente, 5.9
Total, Salaj, Anul 2015, Procente, 5.4
Total, Salaj, Anul 2016, Procente, 5.3
Total, Salaj, Anul 2017, Procente, 4.7
Total, Regiunea CENTRU, Anul 1991, Procente, 1.8
Total, Regiunea CENTRU, Anul 1992, Procente, 6.8
Total, Regiunea CENTRU, Anul 1993, Procente, 9
Total, Regiunea CENTRU, Anul 1994, Procente, 10
Total, Regiunea CENTRU, Anul 1995, Procente, 9.1
Total, Regiunea CENTRU, Anul 1996, Procente, 6.1
Total, Regiunea CENTRU, Anul 1997, Procente, 8.7
Total, Regiunea CENTRU, Anul 1998, Procente, 10.2
Total, Regiunea CENTRU, Anul 1999, Procente, 11
Total, Regiunea CENTRU, Anul 2000, Procente, 10.3
Total, Regiunea CENTRU, Anul 2001, Procente, 8.6
Total, Regiunea CENTRU, Anul 2002, Procente, 9
Total, Regiunea CENTRU, Anul 2003, Procente, 8.3
Total, Regiunea CENTRU, Anul 2004, Procente, 7.8
Total, Regiunea CENTRU, Anul 2005, Procente, 7.3
Total, Regiunea CENTRU, Anul 2006, Procente, 6.1
Total, Regiunea CENTRU, Anul 2007, Procente, 4.8
Total, Regiunea CENTRU, Anul 2008, Procente, 5.2
Total, Regiunea CENTRU, Anul 2009, Procente, 9.5
Total, Regiunea CENTRU, Anul 2010, Procente, 8
Total, Regiunea CENTRU, Anul 2011, Procente, 6.1
Total, Regiunea CENTRU, Anul 2012, Procente, 6.2
Total, Regiunea CENTRU, Anul 2013, Procente, 6.3
Total, Regiunea CENTRU, Anul 2014, Procente, 5.5
Total, Regiunea CENTRU, Anul 2015, Procente, 4.7
Total, Regiunea CENTRU, Anul 2016, Procente, 4.4
Total, Regiunea CENTRU, Anul 2017, Procente, 3.5
Total, Alba, Anul 1991, Procente, 1
Total, Alba, Anul 1992, Procente, 5.7
Total, Alba, Anul 1993, Procente, 8.2
Total, Alba, Anul 1994, Procente, 8.1
Total, Alba, Anul 1995, Procente, 6.8
Total, Alba, Anul 1996, Procente, 4.5
Total, Alba, Anul 1997, Procente, 8.9
Total, Alba, Anul 1998, Procente, 12.7
Total, Alba, Anul 1999, Procente, 11.8
Total, Alba, Anul 2000, Procente, 12.9
Total, Alba, Anul 2001, Procente, 10.4
Total, Alba, Anul 2002, Procente, 10.8
Total, Alba, Anul 2003, Procente, 9.2
Total, Alba, Anul 2004, Procente, 10
Total, Alba, Anul 2005, Procente, 8.3
Total, Alba, Anul 2006, Procente, 7.1
Total, Alba, Anul 2007, Procente, 5.7
Total, Alba, Anul 2008, Procente, 7.1
Total, Alba, Anul 2009, Procente, 12.5
Total, Alba, Anul 2010, Procente, 10
Total, Alba, Anul 2011, Procente, 7.7
Total, Alba, Anul 2012, Procente, 8.4
Total, Alba, Anul 2013, Procente, 10.2
Total, Alba, Anul 2014, Procente, 7.3
Total, Alba, Anul 2015, Procente, 5.6
Total, Alba, Anul 2016, Procente, 5.1
Total, Alba, Anul 2017, Procente, 3.7
Total, Brasov, Anul 1991, Procente, 1.3
Total, Brasov, Anul 1992, Procente, 5.1
Total, Brasov, Anul 1993, Procente, 6.7
Total, Brasov, Anul 1994, Procente, 7.3
Total, Brasov, Anul 1995, Procente, 6.7
Total, Brasov, Anul 1996, Procente, 4.1
Total, Brasov, Anul 1997, Procente, 8.1
Total, Brasov, Anul 1998, Procente, 8.7
Total, Brasov, Anul 1999, Procente, 11.1
Total, Brasov, Anul 2000, Procente, 11.4
Total, Brasov, Anul 2001, Procente, 9.6
Total, Brasov, Anul 2002, Procente, 11.9
Total, Brasov, Anul 2003, Procente, 10.6
Total, Brasov, Anul 2004, Procente, 10.7
Total, Brasov, Anul 2005, Procente, 8.7
Total, Brasov, Anul 2006, Procente, 6.1
Total, Brasov, Anul 2007, Procente, 5
Total, Brasov, Anul 2008, Procente, 4.3
Total, Brasov, Anul 2009, Procente, 8.7
Total, Brasov, Anul 2010, Procente, 7.2
Total, Brasov, Anul 2011, Procente, 5.1
Total, Brasov, Anul 2012, Procente, 4.9
Total, Brasov, Anul 2013, Procente, 4.7
Total, Brasov, Anul 2014, Procente, 4.3
Total, Brasov, Anul 2015, Procente, 3.8
Total, Brasov, Anul 2016, Procente, 3.6
Total, Brasov, Anul 2017, Procente, 2.8
Total, Covasna, Anul 1991, Procente, 2.4
Total, Covasna, Anul 1992, Procente, 7.8
Total, Covasna, Anul 1993, Procente, 9.6
Total, Covasna, Anul 1994, Procente, 9.1
Total, Covasna, Anul 1995, Procente, 7
Total, Covasna, Anul 1996, Procente, 4.3
Total, Covasna, Anul 1997, Procente, 6.8
Total, Covasna, Anul 1998, Procente, 9.8
Total, Covasna, Anul 1999, Procente, 12.6
Total, Covasna, Anul 2000, Procente, 11.2
Total, Covasna, Anul 2001, Procente, 9.7
Total, Covasna, Anul 2002, Procente, 9.2
Total, Covasna, Anul 2003, Procente, 7.7
Total, Covasna, Anul 2004, Procente, 8.1
Total, Covasna, Anul 2005, Procente, 8.8
Total, Covasna, Anul 2006, Procente, 7.1
Total, Covasna, Anul 2007, Procente, 7
Total, Covasna, Anul 2008, Procente, 7.2
Total, Covasna, Anul 2009, Procente, 11.1
Total, Covasna, Anul 2010, Procente, 10
Total, Covasna, Anul 2011, Procente, 8.6
Total, Covasna, Anul 2012, Procente, 7.6
Total, Covasna, Anul 2013, Procente, 7.4
Total, Covasna, Anul 2014, Procente, 6.5
Total, Covasna, Anul 2015, Procente, 5.7
Total, Covasna, Anul 2016, Procente, 5.2
Total, Covasna, Anul 2017, Procente, 4.2
Total, Harghita, Anul 1991, Procente, 2.4
Total, Harghita, Anul 1992, Procente, 8.7
Total, Harghita, Anul 1993, Procente, 12.1
Total, Harghita, Anul 1994, Procente, 10.5
Total, Harghita, Anul 1995, Procente, 10.8
Total, Harghita, Anul 1996, Procente, 8
Total, Harghita, Anul 1997, Procente, 8.8
Total, Harghita, Anul 1998, Procente, 10.4
Total, Harghita, Anul 1999, Procente, 10.8
Total, Harghita, Anul 2000, Procente, 9.9
Total, Harghita, Anul 2001, Procente, 8.5
Total, Harghita, Anul 2002, Procente, 7.7
Total, Harghita, Anul 2003, Procente, 7.8
Total, Harghita, Anul 2004, Procente, 7.2
Total, Harghita, Anul 2005, Procente, 8.5
Total, Harghita, Anul 2006, Procente, 7.2
Total, Harghita, Anul 2007, Procente, 5.1
Total, Harghita, Anul 2008, Procente, 6.5
Total, Harghita, Anul 2009, Procente, 10.5
Total, Harghita, Anul 2010, Procente, 8.8
Total, Harghita, Anul 2011, Procente, 6.5
Total, Harghita, Anul 2012, Procente, 7.3
Total, Harghita, Anul 2013, Procente, 7
Total, Harghita, Anul 2014, Procente, 6
Total, Harghita, Anul 2015, Procente, 5.5
Total, Harghita, Anul 2016, Procente, 5.8
Total, Harghita, Anul 2017, Procente, 4.9
Total, Mures, Anul 1991, Procente, 2.2
Total, Mures, Anul 1992, Procente, 7.2
Total, Mures, Anul 1993, Procente, 9.5
Total, Mures, Anul 1994, Procente, 12.6
Total, Mures, Anul 1995, Procente, 12.5
Total, Mures, Anul 1996, Procente, 8.2
Total, Mures, Anul 1997, Procente, 10.2
Total, Mures, Anul 1998, Procente, 9.6
Total, Mures, Anul 1999, Procente, 8.8
Total, Mures, Anul 2000, Procente, 7.1
Total, Mures, Anul 2001, Procente, 6.1
Total, Mures, Anul 2002, Procente, 6.4
Total, Mures, Anul 2003, Procente, 6.7
Total, Mures, Anul 2004, Procente, 4.4
Total, Mures, Anul 2005, Procente, 4.6
Total, Mures, Anul 2006, Procente, 5.2
Total, Mures, Anul 2007, Procente, 4.3
Total, Mures, Anul 2008, Procente, 4.7
Total, Mures, Anul 2009, Procente, 8
Total, Mures, Anul 2010, Procente, 8
Total, Mures, Anul 2011, Procente, 6
Total, Mures, Anul 2012, Procente, 6
Total, Mures, Anul 2013, Procente, 5.5
Total, Mures, Anul 2014, Procente, 5.8
Total, Mures, Anul 2015, Procente, 4.8
Total, Mures, Anul 2016, Procente, 4.7
Total, Mures, Anul 2017, Procente, 4
Total, Sibiu, Anul 1991, Procente, 1.8
Total, Sibiu, Anul 1992, Procente, 7.8
Total, Sibiu, Anul 1993, Procente, 9.9
Total, Sibiu, Anul 1994, Procente, 12.6
Total, Sibiu, Anul 1995, Procente, 9.6
Total, Sibiu, Anul 1996, Procente, 7
Total, Sibiu, Anul 1997, Procente, 8.2
Total, Sibiu, Anul 1998, Procente, 10.8
Total, Sibiu, Anul 1999, Procente, 12.1
Total, Sibiu, Anul 2000, Procente, 10.3
Total, Sibiu, Anul 2001, Procente, 8.3
Total, Sibiu, Anul 2002, Procente, 7.3
Total, Sibiu, Anul 2003, Procente, 7.1
Total, Sibiu, Anul 2004, Procente, 6.3
Total, Sibiu, Anul 2005, Procente, 6
Total, Sibiu, Anul 2006, Procente, 5.1
Total, Sibiu, Anul 2007, Procente, 3.1
Total, Sibiu, Anul 2008, Procente, 3.1
Total, Sibiu, Anul 2009, Procente, 8.3
Total, Sibiu, Anul 2010, Procente, 5.8
Total, Sibiu, Anul 2011, Procente, 4.3
Total, Sibiu, Anul 2012, Procente, 4.5
Total, Sibiu, Anul 2013, Procente, 4.8
Total, Sibiu, Anul 2014, Procente, 4.6
Total, Sibiu, Anul 2015, Procente, 3.7
Total, Sibiu, Anul 2016, Procente, 3.4
Total, Sibiu, Anul 2017, Procente, 2.4
Total, MACROREGIUNEA DOI, Anul 1991, Procente, 4.3
Total, MACROREGIUNEA DOI, Anul 1992, Procente, 10.9
Total, MACROREGIUNEA DOI, Anul 1993, Procente, 13.5
Total, MACROREGIUNEA DOI, Anul 1994, Procente, 14.5
Total, MACROREGIUNEA DOI, Anul 1995, Procente, 12.3
Total, MACROREGIUNEA DOI, Anul 1996, Procente, 8.9
Total, MACROREGIUNEA DOI, Anul 1997, Procente, 11
Total, MACROREGIUNEA DOI, Anul 1998, Procente, 12.9
Total, MACROREGIUNEA DOI, Anul 1999, Procente, 14.2
Total, MACROREGIUNEA DOI, Anul 2000, Procente, 12.4
Total, MACROREGIUNEA DOI, Anul 2001, Procente, 10.3
Total, MACROREGIUNEA DOI, Anul 2002, Procente, 10.5
Total, MACROREGIUNEA DOI, Anul 2003, Procente, 8.6
Total, MACROREGIUNEA DOI, Anul 2004, Procente, 7.4
Total, MACROREGIUNEA DOI, Anul 2005, Procente, 6.6
Total, MACROREGIUNEA DOI, Anul 2006, Procente, 5.9
Total, MACROREGIUNEA DOI, Anul 2007, Procente, 4.8
Total, MACROREGIUNEA DOI, Anul 2008, Procente, 5
Total, MACROREGIUNEA DOI, Anul 2009, Procente, 8.5
Total, MACROREGIUNEA DOI, Anul 2010, Procente, 8
Total, MACROREGIUNEA DOI, Anul 2011, Procente, 5.9
Total, MACROREGIUNEA DOI, Anul 2012, Procente, 6.2
Total, MACROREGIUNEA DOI, Anul 2013, Procente, 6.7
Total, MACROREGIUNEA DOI, Anul 2014, Procente, 6.7
Total, MACROREGIUNEA DOI, Anul 2015, Procente, 6.5
Total, MACROREGIUNEA DOI, Anul 2016, Procente, 6.6
Total, MACROREGIUNEA DOI, Anul 2017, Procente, 5.6
Total, Regiunea NORD-EST, Anul 1991, Procente, 4.5
Total, Regiunea NORD-EST, Anul 1992, Procente, 11.4
Total, Regiunea NORD-EST, Anul 1993, Procente, 14.9
Total, Regiunea NORD-EST, Anul 1994, Procente, 16.4
Total, Regiunea NORD-EST, Anul 1995, Procente, 13.7
Total, Regiunea NORD-EST, Anul 1996, Procente, 10
Total, Regiunea NORD-EST, Anul 1997, Procente, 12.2
Total, Regiunea NORD-EST, Anul 1998, Procente, 13.9
Total, Regiunea NORD-EST, Anul 1999, Procente, 14.9
Total, Regiunea NORD-EST, Anul 2000, Procente, 13.2
Total, Regiunea NORD-EST, Anul 2001, Procente, 10.6
Total, Regiunea NORD-EST, Anul 2002, Procente, 10.8
Total, Regiunea NORD-EST, Anul 2003, Procente, 9
Total, Regiunea NORD-EST, Anul 2004, Procente, 7.8
Total, Regiunea NORD-EST, Anul 2005, Procente, 6.8
Total, Regiunea NORD-EST, Anul 2006, Procente, 6.2
Total, Regiunea NORD-EST, Anul 2007, Procente, 5.1
Total, Regiunea NORD-EST, Anul 2008, Procente, 5.3
Total, Regiunea NORD-EST, Anul 2009, Procente, 8.6
Total, Regiunea NORD-EST, Anul 2010, Procente, 7.8
Total, Regiunea NORD-EST, Anul 2011, Procente, 5.8
Total, Regiunea NORD-EST, Anul 2012, Procente, 6
Total, Regiunea NORD-EST, Anul 2013, Procente, 6.6
Total, Regiunea NORD-EST, Anul 2014, Procente, 6.6
Total, Regiunea NORD-EST, Anul 2015, Procente, 6.3
Total, Regiunea NORD-EST, Anul 2016, Procente, 6.5
Total, Regiunea NORD-EST, Anul 2017, Procente, 5.6
Total, Bacau, Anul 1991, Procente, 3.4
Total, Bacau, Anul 1992, Procente, 9.6
Total, Bacau, Anul 1993, Procente, 12.4
Total, Bacau, Anul 1994, Procente, 11.9
Total, Bacau, Anul 1995, Procente, 10.5
Total, Bacau, Anul 1996, Procente, 7.6
Total, Bacau, Anul 1997, Procente, 10.4
Total, Bacau, Anul 1998, Procente, 10.7
Total, Bacau, Anul 1999, Procente, 13.2
Total, Bacau, Anul 2000, Procente, 9.5
Total, Bacau, Anul 2001, Procente, 8.2
Total, Bacau, Anul 2002, Procente, 9.4
Total, Bacau, Anul 2003, Procente, 7.1
Total, Bacau, Anul 2004, Procente, 7
Total, Bacau, Anul 2005, Procente, 6.3
Total, Bacau, Anul 2006, Procente, 5.8
Total, Bacau, Anul 2007, Procente, 4.4
Total, Bacau, Anul 2008, Procente, 5.3
Total, Bacau, Anul 2009, Procente, 9
Total, Bacau, Anul 2010, Procente, 7.8
Total, Bacau, Anul 2011, Procente, 6.2
Total, Bacau, Anul 2012, Procente, 6.4
Total, Bacau, Anul 2013, Procente, 7.2
Total, Bacau, Anul 2014, Procente, 6.8
Total, Bacau, Anul 2015, Procente, 6.6
Total, Bacau, Anul 2016, Procente, 6.9
Total, Bacau, Anul 2017, Procente, 6.6
Total, Botosani, Anul 1991, Procente, 5.4
Total, Botosani, Anul 1992, Procente, 11.1
Total, Botosani, Anul 1993, Procente, 16.3
Total, Botosani, Anul 1994, Procente, 18.5
Total, Botosani, Anul 1995, Procente, 17.2
Total, Botosani, Anul 1996, Procente, 10.5
Total, Botosani, Anul 1997, Procente, 13.3
Total, Botosani, Anul 1998, Procente, 16.7
Total, Botosani, Anul 1999, Procente, 17.7
Total, Botosani, Anul 2000, Procente, 16.7
Total, Botosani, Anul 2001, Procente, 11.8
Total, Botosani, Anul 2002, Procente, 11
Total, Botosani, Anul 2003, Procente, 9.7
Total, Botosani, Anul 2004, Procente, 8
Total, Botosani, Anul 2005, Procente, 6.2
Total, Botosani, Anul 2006, Procente, 5.4
Total, Botosani, Anul 2007, Procente, 4
