
Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Procente, Valoare
Total, Cluj, Anul 2014, Procente, 73.6
Total, Cluj, Anul 2015, Procente, 74.3
Total, Cluj, Anul 2016, Procente, 74.9
Total, Cluj, Anul 2017, Procente, 76.5
Total, Maramures, Anul 1990, Procente, 83.1
Total, Maramures, Anul 1991, Procente, 84.4
Total, Maramures, Anul 1992, Procente, 81.9
Total, Maramures, Anul 1993, Procente, 78.8
Total, Maramures, Anul 1994, Procente, 76.2
Total, Maramures, Anul 1995, Procente, 72.2
Total, Maramures, Anul 1996, Procente, 72.6
Total, Maramures, Anul 1997, Procente, 67.2
Total, Maramures, Anul 1998, Procente, 75.4
Total, Maramures, Anul 1999, Procente, 67.2
Total, Maramures, Anul 2000, Procente, 66.9
Total, Maramures, Anul 2001, Procente, 65.5
Total, Maramures, Anul 2002, Procente, 62.4
Total, Maramures, Anul 2003, Procente, 60.8
Total, Maramures, Anul 2004, Procente, 60.9
Total, Maramures, Anul 2005, Procente, 61
Total, Maramures, Anul 2006, Procente, 60.6
Total, Maramures, Anul 2007, Procente, 60.9
Total, Maramures, Anul 2008, Procente, 60.8
Total, Maramures, Anul 2009, Procente, 59.3
Total, Maramures, Anul 2010, Procente, 58.4
Total, Maramures, Anul 2011, Procente, 58.8
Total, Maramures, Anul 2012, Procente, 60.4
Total, Maramures, Anul 2013, Procente, 60.1
Total, Maramures, Anul 2014, Procente, 66.7
Total, Maramures, Anul 2015, Procente, 65.9
Total, Maramures, Anul 2016, Procente, 63.7
Total, Maramures, Anul 2017, Procente, 65.2
Total, Satu Mare, Anul 1990, Procente, 78.1
Total, Satu Mare, Anul 1991, Procente, 82.4
Total, Satu Mare, Anul 1992, Procente, 78
Total, Satu Mare, Anul 1993, Procente, 73.9
Total, Satu Mare, Anul 1994, Procente, 75.7
Total, Satu Mare, Anul 1995, Procente, 76
Total, Satu Mare, Anul 1996, Procente, 75.6
Total, Satu Mare, Anul 1997, Procente, 68.5
Total, Satu Mare, Anul 1998, Procente, 73
Total, Satu Mare, Anul 1999, Procente, 67.6
Total, Satu Mare, Anul 2000, Procente, 69.8
Total, Satu Mare, Anul 2001, Procente, 70.3
Total, Satu Mare, Anul 2002, Procente, 67.4
Total, Satu Mare, Anul 2003, Procente, 64.5
Total, Satu Mare, Anul 2004, Procente, 62.6
Total, Satu Mare, Anul 2005, Procente, 62.9
Total, Satu Mare, Anul 2006, Procente, 63.6
Total, Satu Mare, Anul 2007, Procente, 64.6
Total, Satu Mare, Anul 2008, Procente, 64.5
Total, Satu Mare, Anul 2009, Procente, 61.7
Total, Satu Mare, Anul 2010, Procente, 60.1
Total, Satu Mare, Anul 2011, Procente, 60.1
Total, Satu Mare, Anul 2012, Procente, 62
Total, Satu Mare, Anul 2013, Procente, 62.5
Total, Satu Mare, Anul 2014, Procente, 68.6
Total, Satu Mare, Anul 2015, Procente, 67.3
Total, Satu Mare, Anul 2016, Procente, 64.9
Total, Satu Mare, Anul 2017, Procente, 66.6
Total, Salaj, Anul 1990, Procente, 83.2
Total, Salaj, Anul 1991, Procente, 82.1
Total, Salaj, Anul 1992, Procente, 77.9
Total, Salaj, Anul 1993, Procente, 75
Total, Salaj, Anul 1994, Procente, 74.2
Total, Salaj, Anul 1995, Procente, 74.8
Total, Salaj, Anul 1996, Procente, 75.5
Total, Salaj, Anul 1997, Procente, 74.1
Total, Salaj, Anul 1998, Procente, 71.1
Total, Salaj, Anul 1999, Procente, 79.6
Total, Salaj, Anul 2000, Procente, 73.6
Total, Salaj, Anul 2001, Procente, 71.7
Total, Salaj, Anul 2002, Procente, 67
Total, Salaj, Anul 2003, Procente, 65.4
Total, Salaj, Anul 2004, Procente, 63.4
Total, Salaj, Anul 2005, Procente, 63.8
Total, Salaj, Anul 2006, Procente, 66.4
Total, Salaj, Anul 2007, Procente, 68.3
Total, Salaj, Anul 2008, Procente, 67.2
Total, Salaj, Anul 2009, Procente, 64.2
Total, Salaj, Anul 2010, Procente, 63.4
Total, Salaj, Anul 2011, Procente, 64
Total, Salaj, Anul 2012, Procente, 66.6
Total, Salaj, Anul 2013, Procente, 66.6
Total, Salaj, Anul 2014, Procente, 75.3
Total, Salaj, Anul 2015, Procente, 74.1
Total, Salaj, Anul 2016, Procente, 73.4
Total, Salaj, Anul 2017, Procente, 74.9
Total, Regiunea CENTRU, Anul 1990, Procente, 79.5
Total, Regiunea CENTRU, Anul 1991, Procente, 82.3
Total, Regiunea CENTRU, Anul 1992, Procente, 78.5
Total, Regiunea CENTRU, Anul 1993, Procente, 77
Total, Regiunea CENTRU, Anul 1994, Procente, 77.3
Total, Regiunea CENTRU, Anul 1995, Procente, 72
Total, Regiunea CENTRU, Anul 1996, Procente, 72.4
Total, Regiunea CENTRU, Anul 1997, Procente, 69.1
Total, Regiunea CENTRU, Anul 1998, Procente, 67.6
Total, Regiunea CENTRU, Anul 1999, Procente, 65.9
Total, Regiunea CENTRU, Anul 2000, Procente, 66
Total, Regiunea CENTRU, Anul 2001, Procente, 63.6
Total, Regiunea CENTRU, Anul 2002, Procente, 65.3
Total, Regiunea CENTRU, Anul 2003, Procente, 63.3
Total, Regiunea CENTRU, Anul 2004, Procente, 61.7
Total, Regiunea CENTRU, Anul 2005, Procente, 61
Total, Regiunea CENTRU, Anul 2006, Procente, 62.4
Total, Regiunea CENTRU, Anul 2007, Procente, 64
Total, Regiunea CENTRU, Anul 2008, Procente, 63.9
Total, Regiunea CENTRU, Anul 2009, Procente, 60.7
Total, Regiunea CENTRU, Anul 2010, Procente, 60
Total, Regiunea CENTRU, Anul 2011, Procente, 60.4
Total, Regiunea CENTRU, Anul 2012, Procente, 62.6
Total, Regiunea CENTRU, Anul 2013, Procente, 62.8
Total, Regiunea CENTRU, Anul 2014, Procente, 64.6
Total, Regiunea CENTRU, Anul 2015, Procente, 69.4
Total, Regiunea CENTRU, Anul 2016, Procente, 69.5
Total, Regiunea CENTRU, Anul 2017, Procente, 70.8
Total, Alba, Anul 1990, Procente, 83.5
Total, Alba, Anul 1991, Procente, 86.1
Total, Alba, Anul 1992, Procente, 85.6
Total, Alba, Anul 1993, Procente, 80.6
Total, Alba, Anul 1994, Procente, 80.5
Total, Alba, Anul 1995, Procente, 79.1
Total, Alba, Anul 1996, Procente, 83.4
Total, Alba, Anul 1997, Procente, 71.4
Total, Alba, Anul 1998, Procente, 72.1
Total, Alba, Anul 1999, Procente, 72.6
Total, Alba, Anul 2000, Procente, 74.7
Total, Alba, Anul 2001, Procente, 70.7
Total, Alba, Anul 2002, Procente, 73.8
Total, Alba, Anul 2003, Procente, 70.7
Total, Alba, Anul 2004, Procente, 69.5
Total, Alba, Anul 2005, Procente, 68.5
Total, Alba, Anul 2006, Procente, 70.5
Total, Alba, Anul 2007, Procente, 71.9
Total, Alba, Anul 2008, Procente, 70
Total, Alba, Anul 2009, Procente, 66
Total, Alba, Anul 2010, Procente, 64.2
Total, Alba, Anul 2011, Procente, 65
Total, Alba, Anul 2012, Procente, 67.5
Total, Alba, Anul 2013, Procente, 68
Total, Alba, Anul 2014, Procente, 76.7
Total, Alba, Anul 2015, Procente, 77.4
Total, Alba, Anul 2016, Procente, 77.3
Total, Alba, Anul 2017, Procente, 79.5
Total, Brasov, Anul 1990, Procente, 76.6
Total, Brasov, Anul 1991, Procente, 80.5
Total, Brasov, Anul 1992, Procente, 76.2
Total, Brasov, Anul 1993, Procente, 76.4
Total, Brasov, Anul 1994, Procente, 79.5
Total, Brasov, Anul 1995, Procente, 69
Total, Brasov, Anul 1996, Procente, 65.9
Total, Brasov, Anul 1997, Procente, 66.2
Total, Brasov, Anul 1998, Procente, 65.2
Total, Brasov, Anul 1999, Procente, 63.1
Total, Brasov, Anul 2000, Procente, 59.1
Total, Brasov, Anul 2001, Procente, 58
Total, Brasov, Anul 2002, Procente, 61.1
Total, Brasov, Anul 2003, Procente, 57.4
Total, Brasov, Anul 2004, Procente, 56.2
Total, Brasov, Anul 2005, Procente, 55.1
Total, Brasov, Anul 2006, Procente, 56.6
Total, Brasov, Anul 2007, Procente, 57.7
Total, Brasov, Anul 2008, Procente, 58.6
Total, Brasov, Anul 2009, Procente, 55.6
Total, Brasov, Anul 2010, Procente, 54.8
Total, Brasov, Anul 2011, Procente, 55.4
Total, Brasov, Anul 2012, Procente, 57.8
Total, Brasov, Anul 2013, Procente, 59.2
Total, Brasov, Anul 2014, Procente, 67.3
Total, Brasov, Anul 2015, Procente, 68.4
Total, Brasov, Anul 2016, Procente, 70.6
Total, Brasov, Anul 2017, Procente, 71.5
Total, Covasna, Anul 1990, Procente, 78
Total, Covasna, Anul 1991, Procente, 77
Total, Covasna, Anul 1992, Procente, 73
Total, Covasna, Anul 1993, Procente, 75
Total, Covasna, Anul 1994, Procente, 68.8
Total, Covasna, Anul 1995, Procente, 67
Total, Covasna, Anul 1996, Procente, 69.4
Total, Covasna, Anul 1997, Procente, 72.3
Total, Covasna, Anul 1998, Procente, 68.6
Total, Covasna, Anul 1999, Procente, 62.2
Total, Covasna, Anul 2000, Procente, 63.5
Total, Covasna, Anul 2001, Procente, 60
Total, Covasna, Anul 2002, Procente, 61.5
Total, Covasna, Anul 2003, Procente, 62
Total, Covasna, Anul 2004, Procente, 59.9
Total, Covasna, Anul 2005, Procente, 58.3
Total, Covasna, Anul 2006, Procente, 58.4
Total, Covasna, Anul 2007, Procente, 60.9
Total, Covasna, Anul 2008, Procente, 60.3
Total, Covasna, Anul 2009, Procente, 57.2
Total, Covasna, Anul 2010, Procente, 55.3
Total, Covasna, Anul 2011, Procente, 56.4
Total, Covasna, Anul 2012, Procente, 58.4
Total, Covasna, Anul 2013, Procente, 57.7
Total, Covasna, Anul 2014, Procente, 63.5
Total, Covasna, Anul 2015, Procente, 64.3
Total, Covasna, Anul 2016, Procente, 63
Total, Covasna, Anul 2017, Procente, 64.2
Total, Harghita, Anul 1990, Procente, 81.8
Total, Harghita, Anul 1991, Procente, 82.4
Total, Harghita, Anul 1992, Procente, 80.4
Total, Harghita, Anul 1993, Procente, 76.9
Total, Harghita, Anul 1994, Procente, 78.2
Total, Harghita, Anul 1995, Procente, 73.8
Total, Harghita, Anul 1996, Procente, 73.3
Total, Harghita, Anul 1997, Procente, 72.4
Total, Harghita, Anul 1998, Procente, 70.1
Total, Harghita, Anul 1999, Procente, 68.1
Total, Harghita, Anul 2000, Procente, 70.7
Total, Harghita, Anul 2001, Procente, 66.6
Total, Harghita, Anul 2002, Procente, 64.2
Total, Harghita, Anul 2003, Procente, 61.7
Total, Harghita, Anul 2004, Procente, 59.5
Total, Harghita, Anul 2005, Procente, 60.3
Total, Harghita, Anul 2006, Procente, 62.2
Total, Harghita, Anul 2007, Procente, 64.2
Total, Harghita, Anul 2008, Procente, 65.1
Total, Harghita, Anul 2009, Procente, 62.5
Total, Harghita, Anul 2010, Procente, 63.1
Total, Harghita, Anul 2011, Procente, 62.7
Total, Harghita, Anul 2012, Procente, 64.1
Total, Harghita, Anul 2013, Procente, 63.9
Total, Harghita, Anul 2014, Procente, 66.7
Total, Harghita, Anul 2015, Procente, 66.3
Total, Harghita, Anul 2016, Procente, 65.7
Total, Harghita, Anul 2017, Procente, 66.7
Total, Mures, Anul 1990, Procente, 83.1
Total, Mures, Anul 1991, Procente, 84.7
Total, Mures, Anul 1992, Procente, 80
Total, Mures, Anul 1993, Procente, 77.2
Total, Mures, Anul 1994, Procente, 79.2
Total, Mures, Anul 1995, Procente, 73.9
Total, Mures, Anul 1996, Procente, 74
Total, Mures, Anul 1997, Procente, 70.3
Total, Mures, Anul 1998, Procente, 68.6
Total, Mures, Anul 1999, Procente, 66.5
Total, Mures, Anul 2000, Procente, 69.6
Total, Mures, Anul 2001, Procente, 66.3
Total, Mures, Anul 2002, Procente, 68.1
Total, Mures, Anul 2003, Procente, 68.1
Total, Mures, Anul 2004, Procente, 65.1
Total, Mures, Anul 2005, Procente, 64.8
Total, Mures, Anul 2006, Procente, 65.1
Total, Mures, Anul 2007, Procente, 65.8
Total, Mures, Anul 2008, Procente, 65.5
Total, Mures, Anul 2009, Procente, 62.7
Total, Mures, Anul 2010, Procente, 61.4
Total, Mures, Anul 2011, Procente, 61.6
Total, Mures, Anul 2012, Procente, 63.3
Total, Mures, Anul 2013, Procente, 62.7
Total, Mures, Anul 2014, Procente, 67
Total, Mures, Anul 2015, Procente, 66.1
Total, Mures, Anul 2016, Procente, 64.8
Total, Mures, Anul 2017, Procente, 66.1
Total, Sibiu, Anul 1990, Procente, 75.2
Total, Sibiu, Anul 1991, Procente, 81.2
Total, Sibiu, Anul 1992, Procente, 74.8
Total, Sibiu, Anul 1993, Procente, 75.6
Total, Sibiu, Anul 1994, Procente, 72.5
Total, Sibiu, Anul 1995, Procente, 69.1
Total, Sibiu, Anul 1996, Procente, 70.6
Total, Sibiu, Anul 1997, Procente, 65.5
Total, Sibiu, Anul 1998, Procente, 63.6
Total, Sibiu, Anul 1999, Procente, 63.7
Total, Sibiu, Anul 2000, Procente, 61.9
Total, Sibiu, Anul 2001, Procente, 61.5
Total, Sibiu, Anul 2002, Procente, 63.4
Total, Sibiu, Anul 2003, Procente, 60.9
Total, Sibiu, Anul 2004, Procente, 61.2
Total, Sibiu, Anul 2005, Procente, 60
Total, Sibiu, Anul 2006, Procente, 62.6
Total, Sibiu, Anul 2007, Procente, 65.4
Total, Sibiu, Anul 2008, Procente, 65.5
Total, Sibiu, Anul 2009, Procente, 61.3
Total, Sibiu, Anul 2010, Procente, 62.4
Total, Sibiu, Anul 2011, Procente, 62.4
Total, Sibiu, Anul 2012, Procente, 65.3
Total, Sibiu, Anul 2013, Procente, 65.5
Total, Sibiu, Anul 2014, Procente, 71.6
Total, Sibiu, Anul 2015, Procente, 73.6
Total, Sibiu, Anul 2016, Procente, 74.4
Total, Sibiu, Anul 2017, Procente, 75.6
Total, MACROREGIUNEA DOI, Anul 1990, Procente, 81.8
Total, MACROREGIUNEA DOI, Anul 1991, Procente, 81.5
Total, MACROREGIUNEA DOI, Anul 1992, Procente, 77.4
Total, MACROREGIUNEA DOI, Anul 1993, Procente, 72.9
Total, MACROREGIUNEA DOI, Anul 1994, Procente, 71.7
Total, MACROREGIUNEA DOI, Anul 1995, Procente, 68.4
Total, MACROREGIUNEA DOI, Anul 1996, Procente, 67.9
Total, MACROREGIUNEA DOI, Anul 1997, Procente, 64.8
Total, MACROREGIUNEA DOI, Anul 1998, Procente, 62.7
Total, MACROREGIUNEA DOI, Anul 1999, Procente, 61.1
Total, MACROREGIUNEA DOI, Anul 2000, Procente, 61.8
Total, MACROREGIUNEA DOI, Anul 2001, Procente, 59.8
Total, MACROREGIUNEA DOI, Anul 2002, Procente, 57.4
Total, MACROREGIUNEA DOI, Anul 2003, Procente, 56.1
Total, MACROREGIUNEA DOI, Anul 2004, Procente, 54.6
Total, MACROREGIUNEA DOI, Anul 2005, Procente, 54.5
Total, MACROREGIUNEA DOI, Anul 2006, Procente, 54.3
Total, MACROREGIUNEA DOI, Anul 2007, Procente, 55.4
Total, MACROREGIUNEA DOI, Anul 2008, Procente, 55.3
Total, MACROREGIUNEA DOI, Anul 2009, Procente, 52.7
Total, MACROREGIUNEA DOI, Anul 2010, Procente, 51.8
Total, MACROREGIUNEA DOI, Anul 2011, Procente, 51.2
Total, MACROREGIUNEA DOI, Anul 2012, Procente, 52.4
Total, MACROREGIUNEA DOI, Anul 2013, Procente, 51.7
Total, MACROREGIUNEA DOI, Anul 2014, Procente, 60.6
Total, MACROREGIUNEA DOI, Anul 2015, Procente, 59.9
Total, MACROREGIUNEA DOI, Anul 2016, Procente, 58
Total, MACROREGIUNEA DOI, Anul 2017, Procente, 59
Total, Regiunea NORD-EST, Anul 1990, Procente, 83.9
Total, Regiunea NORD-EST, Anul 1991, Procente, 82.7
Total, Regiunea NORD-EST, Anul 1992, Procente, 77.8
Total, Regiunea NORD-EST, Anul 1993, Procente, 72.5
Total, Regiunea NORD-EST, Anul 1994, Procente, 71.3
Total, Regiunea NORD-EST, Anul 1995, Procente, 68.5
Total, Regiunea NORD-EST, Anul 1996, Procente, 68.3
Total, Regiunea NORD-EST, Anul 1997, Procente, 65.1
Total, Regiunea NORD-EST, Anul 1998, Procente, 63.4
Total, Regiunea NORD-EST, Anul 1999, Procente, 61.9
Total, Regiunea NORD-EST, Anul 2000, Procente, 62.6
Total, Regiunea NORD-EST, Anul 2001, Procente, 61
Total, Regiunea NORD-EST, Anul 2002, Procente, 57.9
Total, Regiunea NORD-EST, Anul 2003, Procente, 56.2
Total, Regiunea NORD-EST, Anul 2004, Procente, 54.1
Total, Regiunea NORD-EST, Anul 2005, Procente, 54.1
Total, Regiunea NORD-EST, Anul 2006, Procente, 53.2
Total, Regiunea NORD-EST, Anul 2007, Procente, 54
Total, Regiunea NORD-EST, Anul 2008, Procente, 53.6
Total, Regiunea NORD-EST, Anul 2009, Procente, 51.3
Total, Regiunea NORD-EST, Anul 2010, Procente, 50.6
Total, Regiunea NORD-EST, Anul 2011, Procente, 49.7
Total, Regiunea NORD-EST, Anul 2012, Procente, 50.8
Total, Regiunea NORD-EST, Anul 2013, Procente, 49.6
Total, Regiunea NORD-EST, Anul 2014, Procente, 71.8
Total, Regiunea NORD-EST, Anul 2015, Procente, 57.6
Total, Regiunea NORD-EST, Anul 2016, Procente, 55.5
Total, Regiunea NORD-EST, Anul 2017, Procente, 56.4
Total, Bacau, Anul 1990, Procente, 79.5
Total, Bacau, Anul 1991, Procente, 76.2
Total, Bacau, Anul 1992, Procente, 72.1
Total, Bacau, Anul 1993, Procente, 69
Total, Bacau, Anul 1994, Procente, 66.4
Total, Bacau, Anul 1995, Procente, 64.4
Total, Bacau, Anul 1996, Procente, 66.5
Total, Bacau, Anul 1997, Procente, 62.5
Total, Bacau, Anul 1998, Procente, 58.6
Total, Bacau, Anul 1999, Procente, 53.1
Total, Bacau, Anul 2000, Procente, 55
Total, Bacau, Anul 2001, Procente, 54.1
Total, Bacau, Anul 2002, Procente, 52.6
Total, Bacau, Anul 2003, Procente, 51.7
Total, Bacau, Anul 2004, Procente, 49.1
Total, Bacau, Anul 2005, Procente, 48.2
Total, Bacau, Anul 2006, Procente, 48.1
Total, Bacau, Anul 2007, Procente, 48.5
Total, Bacau, Anul 2008, Procente, 48.2
Total, Bacau, Anul 2009, Procente, 45.6
Total, Bacau, Anul 2010, Procente, 44.1
Total, Bacau, Anul 2011, Procente, 44.1
Total, Bacau, Anul 2012, Procente, 45.3
