Country;Election type;Year;Voter Turnout;Total vote;Registration;VAP Turnout;Voting age population;Population;Invalid votes;Compulsory voting
Austria;Parliamentary;1962.0;93.77 %;4,506,007 ;4,805,351 ;90.28 %;4,991,000 ;7,130,000 ;1.10 %;No
Austria;Parliamentary;1959.0;94.21 %;4,424,658 ;4,696,603 ;89.67 %;4,934,300 ;7,049,000 ;1.40 %;No
Austria;Parliamentary;1956.0;95.95 %;4,427,711 ;4,614,464 ;89.31 %;4,957,930 ;6,983,000 ;1.70 %;No
Austria;Parliamentary;1953.0;95.83 %;4,395,519 ;4,586,870 ;89.03 %;4,937,340 ;6,939,000 ;1.70 %;No
Austria;Parliamentary;1949.0;96.78 %;4,250,616 ;4,391,815 ;86.24 %;4,928,820 ;6,942,000 ;1.30 %;No
Austria;Parliamentary;1945.0;94.31 %;3,253,329 ;3,449,605 ;67.39 %;4,827,290 ;6,799,000 ;1.10 %;No
Belarus;Parliamentary;2019.0;77.31 %;5,319,286 ;6,880,605 ;68.94 %;7,716,337 ;9,503,591 ;1.05 %;No
Belarus;Parliamentary;2016.0;74.68 %;5,211,871 ;6,978,490 ;66.84 %;7,797,893 ;9,570,376 ;;No
Belarus;Parliamentary;2012.0;74.20 %;5,210,676 ;7,022,221 ;65.92 %;7,904,831 ;9,643,566 ;;No
Belarus;Parliamentary;2008.0;76.74 %;5,384,647 ;7,016,711 ;69.56 %;7,741,235 ;9,685,768 ;2.10 %;No
Belarus;Parliamentary;2004.0;90.14 %;6,297,600 ;6,986,163 ;82.43 %;7,640,118 ;10,310,520 ;3.20 %;No
Belarus;Parliamentary;2000.0;61.08 %;4,430,878 ;7,254,752 ;58.24 %;7,607,585 ;10,142,706 ;;No
Belarus;Parliamentary;1995.0;56.40 %;4,199,431 ;7,445,800 ;54.88 %;7,652,340 ;10,341,000 ;;No
Belgium;Parliamentary;2019.0;88.38 %;7,218,633 ;8,167,709 ;77.94 %;9,261,362 ;11,647,253 ;6.07 %;Yes
Belgium;Parliamentary;2014.0;89.37 %;7,157,498 ;8,008,776 ;87.21 %;8,206,762 ;10,449,361 ;5.78 %;Yes
Belgium;Parliamentary;2010.0;89.22 %;6,929,855 ;7,767,552 ;84.65 %;8,186,446 ;10,423,493 ;5.80 %;Yes
Belgium;Parliamentary;2007.0;91.08 %;7,032,077 ;7,720,796 ;86.00 %;8,176,805 ;10,392,226 ;5.13 %;Yes
Belgium;Parliamentary;2003.0;91.63 %;6,934,605 ;7,570,637 ;85.92 %;8,070,793 ;10,274,595 ;4.30 %;Yes
Belgium;Parliamentary;1999.0;90.57 %;6,650,796 ;7,343,466 ;83.14 %;7,999,572 ;10,199,967 ;6.86 %;Yes
Belgium;Parliamentary;1995.0;91.15 %;6,562,149 ;7,199,440 ;83.20 %;7,887,360 ;10,112,000 ;7.50 %;Yes
Belgium;Parliamentary;1991.0;92.71 %;6,623,897 ;7,144,884 ;85.10 %;7,783,620 ;9,979,000 ;7.00 %;Yes
Belgium;Parliamentary;1987.0;93.38 %;6,573,045 ;7,039,250 ;86.49 %;7,599,900 ;9,870,000 ;6.60 %;Yes
Belgium;Parliamentary;1985.0;93.59 %;6,552,234 ;7,001,297 ;86.32 %;7,590,660 ;9,858,000 ;7.40 %;Yes
Belgium;Parliamentary;1981.0;94.56 %;6,504,056 ;6,878,141 ;94.31 %;6,896,400 ;9,852,000 ;7.40 %;Yes
Belgium;Parliamentary;1978.0;94.87 %;6,039,916 ;6,366,652 ;87.78 %;6,881,000 ;9,830,000 ;8.40 %;Yes
Belgium;Parliamentary;1977.0;95.07 %;6,005,195 ;6,316,292 ;89.91 %;6,678,960 ;9,822,000 ;7.20 %;Yes
Belgium;Parliamentary;1974.0;90.35 %;5,711,996 ;6,322,227 ;85.71 %;6,664,000 ;9,800,000 ;7.90 %;Yes
Belgium;Parliamentary;1971.0;91.55 %;5,741,270 ;6,271,240 ;88.61 %;6,478,900 ;9,670,000 ;8.00 %;Yes
Belgium;Parliamentary;1968.0;90.02 %;5,554,652 ;6,170,167 ;86.18 %;6,445,400 ;9,620,000 ;6.80 %;Yes
Belgium;Parliamentary;1965.0;91.58 %;5,578,876 ;6,091,534 ;88.02 %;6,338,200 ;9,460,000 ;7.10 %;Yes
Belgium;Parliamentary;1961.0;92.34 %;5,573,861 ;6,036,165 ;87.96 %;6,336,960 ;9,184,000 ;5.50 %;Yes
Belgium;Parliamentary;1958.0;93.62 %;5,575,127 ;5,954,858 ;89.25 %;6,246,570 ;9,053,000 ;4.90 %;Yes
Belgium;Parliamentary;1954.0;93.18 %;5,463,130 ;5,863,092 ;88.50 %;6,173,300 ;8,819,000 ;5.50 %;Yes
Belgium;Parliamentary;1950.0;92.62 %;5,219,276 ;5,635,452 ;86.31 %;6,047,300 ;8,639,000 ;5.30 %;Yes
Belgium;Parliamentary;1949.0;94.41 %;5,320,263 ;5,635,452 ;88.23 %;6,029,800 ;8,614,000 ;5.40 %;Yes
Belgium;Parliamentary;1946.0;90.30 %;2,460,609 ;2,724,796 ;42.01 %;5,856,900 ;8,367,000 ;3.86 %;Yes
Bosnia and Herzegovina;Parliamentary;2018.0;54.03 %;1,812,960 ;3,355,429 ;56.15 %;3,228,803 ;3,849,891 ;8.63 %;No
Bosnia and Herzegovina;Parliamentary;2014.0;54.54 %;1,788,181 ;3,278,908 ;59.32 %;3,014,585 ;3,871,643 ;8.76 %;No
Bosnia and Herzegovina;Parliamentary;2010.0;56.49 %;1,769,249 ;3,132,231 ;58.77 %;3,010,376 ;4,621,598 ;7.22 %;No
Bosnia and Herzegovina;Parliamentary;2006.0;54.94 %;1,513,597 ;2,755,207 ;42.76 %;3,539,921 ;4,498,976 ;6.70 %;No
Bosnia and Herzegovina;Parliamentary;2002.0;55.45 %;1,298,827 ;2,342,141 ;40.86 %;3,178,427 ;3,964,388 ;;No
Bosnia and Herzegovina;Parliamentary;2000.0;63.70 %;1,597,805 ;2,508,349 ;52.33 %;3,053,221 ;4,269,483 ;;No
Bosnia and Herzegovina;Parliamentary;1998.0;70.74 %;1,879,339 ;2,656,758 ;57.72 %;3,256,197 ;4,022,835 ;;No
Bosnia and Herzegovina;Parliamentary;1996.0;46.06 %;1,335,707 ;2,900,000 ;51.92 %;2,572,520 ;3,524,000 ;;No
Bulgaria;Parliamentary;2021.0;49.11 %;3,334,283 ;6,789,605 ;58.32 %;5,717,150 ;6,919,180 ;2.59 %;Yes
Bulgaria;Parliamentary;2017.0;53.85 %;3,682,493 ;6,838,235 ;62.79 %;5,864,631 ;7,101,510 ;7.97 %;Yes
Bulgaria;Parliamentary;2014.0;51.05 %;3,501,269 ;6,858,304 ;60.88 %;5,750,976 ;6,924,716 ;6.20 %;No
Bulgaria;Parliamentary;2013.0;52.49 %;3,632,174 ;6,919,260 ;59.69 %;6,084,873 ;7,282,041 ;2.48 %;No
Bulgaria;Parliamentary;2009.0;60.64 %;4,323,581 ;7,129,965 ;72.43 %;5,969,019 ;7,204,687 ;2.25 %;No
Bulgaria;Parliamentary;2005.0;55.76 %;3,747,808 ;6,720,941 ;62.41 %;6,004,949 ;7,450,349 ;2.70 %;No
Bulgaria;Parliamentary;2001.0;66.63 %;4,608,289 ;6,916,151 ;72.10 %;6,391,816 ;7,932,984 ;0.90 %;No
Bulgaria;Parliamentary;1997.0;58.87 %;4,291,258 ;7,289,956 ;66.90 %;6,414,519 ;8,330,544 ;0.80 %;No
Bulgaria;Parliamentary;1994.0;75.23 %;5,264,614 ;6,997,954 ;80.98 %;6,501,110 ;8,443,000 ;1.20 %;No
Bulgaria;Parliamentary;1991.0;83.87 %;5,694,842 ;6,790,006 ;84.54 %;6,736,500 ;8,982,000 ;2.70 %;No
Croatia;Parliamentary;2020.0;46.90 %;1,736,065 ;3,701,924 ;49.48 %;3,508,598 ;4,227,746 ;2.26 %;No
Croatia;Parliamentary;2016.0;52.59 %;1,979,277 ;3,763,769 ;55.52 %;3,564,675 ;4,313,707 ;1.88 %;No
Croatia;Parliamentary;2015.0;60.82 %;2,304,403 ;3,788,788 ;63.96 %;3,602,781 ;4,470,534 ;;No
Croatia;Parliamentary;2011.0;54.17 %;2,439,754 ;4,504,251 ;66.09 %;3,691,302 ;4,483,804 ;1.73 %;No
Croatia;Parliamentary;2007.0;59.58 %;2,520,079 ;4,229,681 ;70.84 %;3,557,272 ;4,493,312 ;1.50 %;No
Croatia;Parliamentary;2003.0;61.65 %;2,520,008 ;4,087,553 ;71.96 %;3,501,832 ;4,422,248 ;1.60 %;No
Croatia;Parliamentary;2000.0;76.55 %;2,821,020 ;3,685,378 ;80.95 %;3,484,951 ;4,584,831 ;1.70 %;No
Croatia;Parliamentary;1995.0;68.79 %;2,500,000 ;3,634,233 ;72.17 %;3,464,230 ;4,499,000 ;3.30 %;No
Croatia;Parliamentary;1992.0;75.61 %;2,690,873 ;3,558,913 ;74.92 %;3,591,750 ;4,789,000 ;4.70 %;No
Croatia;Parliamentary;1990.0;84.54 %;2,996,250 ;3,544,112 ;;;;3.84 %;
Cyprus;Parliamentary;2021.0;65.72 %;366,608 ;557,836 ;35.17 %;1,042,238 ;1,281,506 ;2.43 %;No
Cyprus;Parliamentary;2016.0;66.74 %;362,542 ;543,186 ;39.13 %;926,492 ;1,205,575 ;3.08 %;Yes
Cyprus;Parliamentary;2011.0;78.70 %;418,247 ;531,463 ;47.21 %;885,905 ;1,120,489 ;2.08 %;Yes
Cyprus;Parliamentary;2006.0;89.00 %;445,915 ;501,024 ;60.35 %;738,932 ;1,031,030 ;5.60 %;Yes
Cyprus;Parliamentary;2001.0;91.75 %;428,981 ;467,543 ;67.68 %;633,844 ;932,632 ;4.20 %;Yes
Cyprus;Parliamentary;1996.0;90.13 %;369,521 ;409,996 ;75.90 %;486,850 ;749,000 ;;Yes
Cyprus;Parliamentary;1991.0;94.31 %;359,640 ;381,323 ;78.63 %;457,380 ;639,000 ;3.50 %;Yes
Cyprus;Parliamentary;1985.0;94.62 %;327,821 ;346,454 ;77.95 %;420,550 ;647,000 ;2.60 %;Yes
Cyprus;Parliamentary;1981.0;95.75 %;295,602 ;308,729 ;72.85 %;405,760 ;634,000 ;1.60 %;Yes
Cyprus;Parliamentary;1976.0;85.29 %;232,764 ;272,898 ;62.25 %;373,930 ;613,000 ;1.50 %;Yes
Cyprus;Parliamentary;1970.0;75.85 %;200,141 ;263,857 ;54.77 %;365,400 ;630,000 ;2.20 %;Yes
Czech Republic;Parliamentary;2021.0;65.39 %;5,411,884 ;8,275,752 ;61.66 %;8,777,107 ;10,702,596 ;0.68 %;No
Czech Republic;Parliamentary;2017.0;60.84 %;5,094,633 ;8,374,501 ;58.06 %;8,774,665 ;10,674,723 ;0.60 %;No
Czech Republic;Parliamentary;2013.0;59.48 %;5,010,944 ;8,424,227 ;60.03 %;8,347,604 ;10,162,921 ;0.74 %;No
Czech Republic;Parliamentary;2010.0;62.60 %;5,268,098 ;8,415,892 ;62.22 %;8,466,396 ;10,201,707 ;0.63 %;No
Czech Republic;Parliamentary;2006.0;64.47 %;5,372,449 ;8,333,305 ;65.12 %;8,250,612 ;10,235,455 ;0.40 %;No
Czech Republic;Parliamentary;2002.0;57.95 %;4,789,145 ;8,264,484 ;59.03 %;8,113,689 ;10,264,212 ;0.40 %;No
Czech Republic;Parliamentary;1998.0;74.00 %;6,006,459 ;8,116,836 ;76.73 %;7,827,723 ;10,291,000 ;0.40 %;No
Czech Republic;Parliamentary;1996.0;76.29 %;6,096,404 ;7,990,770 ;77.57 %;7,859,160 ;10,341,000 ;0.60 %;No
Czech Republic;Parliamentary;1992.0;84.68 %;9,750,978 ;11,515,699 ;83.76 %;11,640,940 ;15,731,000 ;1.70 %;No
Czech Republic;Parliamentary;1990.0;96.33 %;10,785,270 ;11,195,596 ;93.06 %;11,589,140 ;15,661,000 ;1.40 %;No
Denmark;Parliamentary;2019.0;84.60 %;3,569,521 ;4,219,537 ;76.38 %;4,673,427 ;5,841,522 ;1.06 %;No
Denmark;Parliamentary;2015.0;85.89 %;3,560,060 ;4,145,105 ;80.34 %;4,431,291 ;5,581,503 ;1.15 %;No
Denmark;Parliamentary;2011.0;87.74 %;3,579,675 ;4,079,910 ;81.83 %;4,374,759 ;5,529,888 ;0.84 %;No
Denmark;Parliamentary;2007.0;86.59 %;3,483,633 ;4,022,920 ;83.20 %;4,186,873 ;5,468,120 ;0.70 %;No
Denmark;Parliamentary;2005.0;84.54 %;3,384,560 ;4,003,616 ;81.34 %;4,161,254 ;5,413,392 ;0.80 %;No
Denmark;Parliamentary;2001.0;87.15 %;3,484,957 ;3,998,957 ;84.34 %;4,132,213 ;5,352,815 ;1.00 %;No
Denmark;Parliamentary;1998.0;85.95 %;3,431,926 ;3,993,009 ;83.13 %;4,128,398 ;5,225,820 ;0.80 %;No
Denmark;Parliamentary;1994.0;84.25 %;3,360,637 ;3,988,787 ;81.73 %;4,111,950 ;5,205,000 ;1.00 %;No
Denmark;Parliamentary;1990.0;82.85 %;3,265,420 ;3,941,499 ;80.42 %;4,060,600 ;5,140,000 ;0.80 %;No
Denmark;Parliamentary;1988.0;85.70 %;3,352,651 ;3,911,897 ;82.73 %;4,052,700 ;5,130,000 ;0.70 %;No
Denmark;Parliamentary;1987.0;86.74 %;3,389,201 ;3,907,454 ;85.85 %;3,947,790 ;5,127,000 ;0.80 %;No
Denmark;Parliamentary;1984.0;88.44 %;3,386,733 ;3,829,600 ;86.04 %;3,936,240 ;5,112,000 ;0.70 %;No
Denmark;Parliamentary;1981.0;87.77 %;3,314,424 ;3,776,333 ;86.28 %;3,841,500 ;5,122,000 ;0.60 %;No
Denmark;Parliamentary;1979.0;85.62 %;3,194,345 ;3,730,650 ;83.23 %;3,837,750 ;5,117,000 ;0.70 %;No
Denmark;Parliamentary;1977.0;88.70 %;3,124,976 ;3,522,904 ;87.74 %;3,561,600 ;5,088,000 ;0.60 %;No
Denmark;Parliamentary;1975.0;88.23 %;3,068,302 ;3,477,621 ;86.63 %;3,542,000 ;5,060,000 ;0.60 %;No
Denmark;Parliamentary;1973.0;88.72 %;3,070,253 ;3,460,737 ;87.37 %;3,514,000 ;5,020,000 ;0.60 %;No
Denmark;Parliamentary;1971.0;87.16 %;2,904,096 ;3,332,044 ;87.31 %;3,326,200 ;4,960,000 ;0.70 %;No
Denmark;Parliamentary;1968.0;89.28 %;2,864,805 ;3,208,646 ;87.98 %;3,256,200 ;4,860,000 ;0.40 %;No
Denmark;Parliamentary;1966.0;88.61 %;2,802,304 ;3,162,352 ;88.46 %;3,168,000 ;4,800,000 ;0.30 %;No
Denmark;Parliamentary;1964.0;85.51 %;2,640,856 ;3,088,269 ;84.77 %;3,115,200 ;4,720,000 ;0.40 %;No
Denmark;Parliamentary;1960.0;85.84 %;2,439,936 ;2,842,336 ;85.91 %;2,840,220 ;4,581,000 ;0.30 %;No
Denmark;Parliamentary;1957.0;83.73 %;2,321,097 ;2,772,159 ;82.09 %;2,827,440 ;4,488,000 ;0.50 %;No
Denmark;Parliamentary;1953.0;80.58 %;2,172,036 ;2,695,554 ;78.91 %;2,752,470 ;4,369,000 ;0.30 %;No
Denmark;Parliamentary;1950.0;81.87 %;2,059,944 ;2,516,118 ;76.57 %;2,690,100 ;4,270,000 ;0.30 %;No
Denmark;Parliamentary;1947.0;85.78 %;2,089,015 ;2,435,306 ;79.98 %;2,611,980 ;4,146,000 ;0.20 %;No
Denmark;Parliamentary;1945.0;86.29 %;2,055,315 ;2,381,983 ;80.65 %;2,548,350 ;4,045,000 ;0.30 %;No
Estonia;Parliamentary;2019.0;63.67 %;565,045 ;887,420 ;56.45 %;1,001,011 ;1,236,641 ;0.69 %;No
Estonia;Parliamentary;2015.0;64.23 %;577,927 ;899,793 ;56.82 %;1,017,053 ;1,249,312 ;0.60 %;No
Estonia;Parliamentary;2011.0;63.53 %;580,264 ;913,346 ;55.45 %;1,046,458 ;1,329,660 ;0.56 %;No
Estonia;Parliamentary;2007.0;61.91 %;555,463 ;897,243 ;53.44 %;1,039,335 ;1,315,912 ;0.90 %;No
Estonia;Parliamentary;2003.0;58.24 %;500,686 ;859,714 ;48.12 %;1,040,400 ;1,415,681 ;1.20 %;No
Estonia;Parliamentary;1999.0;57.43 %;492,356 ;857,270 ;45.95 %;1,071,447 ;1,415,236 ;1.60 %;No
Estonia;Parliamentary;1995.0;68.91 %;545,770 ;791,957 ;48.84 %;1,117,500 ;1,490,000 ;0.90 %;No
Estonia;Parliamentary;1992.0;67.84 %;467,629 ;689,319 ;40.93 %;1,142,560 ;1,544,000 ;1.50 %;No
Estonia;Parliamentary;1990.0;78.20 %;910,000 ;1,163,683 ;78.28 %;1,162,540 ;1,571,000 ;;No
Faroe Islands;Parliamentary;2019.0;89.42 %;33,819 ;37,821 ;86.59 %;39,057 ;51,319 ;0.38 %;No
Faroe Islands;Parliamentary;2015.0;88.48 %;32,257 ;36,458 ;84.92 %;37,983 ;50,196 ;0.36 %;No
Faroe Islands;Parliamentary;2008.0;89.50 %;31,177 ;34,835 ;87.63 %;35,578 ;48,668 ;0.20 %;No
Faroe Islands;Parliamentary;2004.0;92.34 %;31,788 ;34,426 ;90.95 %;34,952 ;48,290 ;0.20 %;No
Faroe Islands;Parliamentary;2002.0;91.63 %;30,717 ;33,522 ;89.83 %;34,194 ;47,349 ;0.50 %;No
Faroe Islands;Parliamentary;1998.0;88.19 %;27,876 ;31,609 ;87.00 %;32,041 ;44,560 ;0.70 %;No
Finland;Parliamentary;2019.0;68.73 %;3,099,760 ;4,510,040 ;69.43 %;4,464,808 ;5,555,154 ;0.58 %;No
Finland;Parliamentary;2015.0;66.85 %;2,983,856 ;4,463,333 ;73.14 %;4,079,928 ;5,475,450 ;0.51 %;No
Finland;Parliamentary;2011.0;67.37 %;2,955,865 ;4,387,701 ;72.77 %;4,061,911 ;5,259,250 ;0.55 %;No
Finland;Parliamentary;2007.0;65.02 %;2,790,752 ;4,292,436 ;68.18 %;4,093,161 ;5,231,372 ;0.70 %;No
Finland;Parliamentary;2003.0;66.71 %;2,815,700 ;4,220,951 ;69.96 %;4,024,992 ;5,183,545 ;0.90 %;No
Finland;Parliamentary;1999.0;65.27 %;2,710,095 ;4,152,430 ;65.21 %;4,155,857 ;5,180,030 ;1.00 %;No
Finland;Parliamentary;1995.0;68.58 %;2,803,602 ;4,088,358 ;71.13 %;3,941,630 ;5,119,000 ;0.60 %;No
Finland;Parliamentary;1991.0;68.39 %;2,776,984 ;4,060,778 ;71.93 %;3,860,780 ;5,014,000 ;1.80 %;No
Finland;Parliamentary;1987.0;72.06 %;2,895,488 ;4,018,248 ;77.25 %;3,748,320 ;4,932,000 ;0.50 %;No
Finland;Parliamentary;1983.0;75.73 %;2,992,970 ;3,951,932 ;81.10 %;3,690,560 ;4,856,000 ;0.40 %;No
Finland;Parliamentary;1979.0;75.31 %;2,906,066 ;3,858,553 ;81.32 %;3,573,750 ;4,765,000 ;0.40 %;No
Finland;Parliamentary;1975.0;73.80 %;2,761,223 ;3,741,460 ;80.29 %;3,439,030 ;4,711,000 ;0.40 %;No
Finland;Parliamentary;1972.0;81.40 %;2,587,060 ;3,178,169 ;84.48 %;3,062,400 ;4,640,000 ;0.40 %;No
Finland;Parliamentary;1970.0;82.23 %;2,544,510 ;3,094,359 ;83.63 %;3,042,600 ;4,610,000 ;0.30 %;No
Finland;Parliamentary;1966.0;84.94 %;2,378,583 ;2,800,461 ;85.14 %;2,793,800 ;4,580,000 ;0.40 %;No
Finland;Parliamentary;1962.0;85.09 %;2,310,090 ;2,714,838 ;85.46 %;2,703,000 ;4,505,000 ;0.40 %;No
Finland;Parliamentary;1958.0;74.99 %;1,954,397 ;2,606,258 ;74.71 %;2,616,000 ;4,360,000 ;0.50 %;No
Finland;Parliamentary;1954.0;79.90 %;2,019,042 ;2,526,969 ;80.27 %;2,515,200 ;4,192,000 ;0.50 %;No
Finland;Parliamentary;1951.0;74.58 %;1,825,779 ;2,448,239 ;73.96 %;2,468,670 ;4,047,000 ;0.70 %;No
Finland;Parliamentary;1948.0;78.25 %;1,893,837 ;2,420,287 ;79.36 %;2,386,320 ;3,912,000 ;0.70 %;No
Finland;Parliamentary;1945.0;74.87 %;1,710,251 ;2,284,249 ;74.61 %;2,292,380 ;3,758,000 ;0.70 %;No
France;Parliamentary;2017.0;48.70 %;23,167,508 ;47,570,988 ;44.37 %;52,211,196 ;67,106,161 ;2.22 %;No
France;Parliamentary;2012.0;57.22 %;26,369,126 ;46,082,104 ;50.73 %;51,979,508 ;65,630,692 ;1.58 %;No
France;Parliamentary;2007.0;59.98 %;21,129,002 ;35,224,953 ;43.43 %;48,651,555 ;63,713,926 ;3.42 %;No
France;Parliamentary;2002.0;60.32 %;22,186,165 ;36,783,746 ;47.25 %;46,955,234 ;59,551,227 ;4.35 %;No
France;Parliamentary;1997.0;67.96 %;26,649,818 ;39,215,743 ;59.86 %;44,521,902 ;58,581,450 ;4.90 %;No
France;Parliamentary;1993.0;68.93 %;26,860,177 ;38,968,660 ;61.29 %;43,826,920 ;57,667,000 ;5.30 %;No
France;Parliamentary;1988.0;66.18 %;24,472,329 ;36,977,321 ;58.14 %;42,088,500 ;56,118,000 ;2.00 %;No
France;Parliamentary;1986.0;78.48 %;28,736,080 ;36,614,738 ;69.91 %;41,104,040 ;55,546,000 ;4.30 %;No
France;Parliamentary;1981.0;70.87 %;25,182,623 ;35,536,041 ;63.92 %;39,395,180 ;53,966,000 ;1.40 %;No
France;Parliamentary;1978.0;71.63 %;24,658,645 ;34,424,388 ;63.40 %;38,892,210 ;53,277,000 ;1.90 %;No
France;Parliamentary;1973.0;81.31 %;24,299,210 ;29,883,738 ;70.63 %;34,405,800 ;52,130,000 ;2.30 %;No
France;Parliamentary;1968.0;79.85 %;22,500,524 ;28,178,087 ;69.36 %;32,441,500 ;49,910,000 ;1.70 %;No
France;Parliamentary;1967.0;81.12 %;22,910,839 ;28,242,549 ;71.14 %;32,207,500 ;49,550,000 ;2.30 %;No
France;Parliamentary;1962.0;68.69 %;18,918,154 ;27,540,358 ;60.99 %;31,018,680 ;46,998,000 ;3.10 %;No
France;Parliamentary;1958.0;77.18 %;21,026,543 ;27,244,992 ;71.13 %;29,560,740 ;44,789,000 ;2.50 %;No
France;Parliamentary;1956.0;82.69 %;22,138,046 ;26,772,255 ;74.26 %;29,813,240 ;43,843,000 ;2.90 %;No
France;Parliamentary;1951.0;80.19 %;19,670,655 ;24,530,523 ;68.49 %;28,721,840 ;42,238,000 ;2.80 %;No
France;Parliamentary;1946.0;81.85 %;20,215,200 ;24,696,949 ;73.73 %;27,416,240 ;40,318,000 ;1.70 %;No
France;Parliamentary;1945.0;79.83 %;19,657,603 ;24,622,862 ;73.93 %;26,588,000 ;39,100,000 ;2.40 %;No
Germany;Parliamentary;2021.0;76.58 %;46,854,508 ;61,181,072 ;69.48 %;67,433,323 ;79,903,481 ;1.05 %;No
Germany;Parliamentary;2017.0;76.15 %;46,976,341 ;61,688,485 ;69.11 %;67,975,700 ;80,594,017 ;1.25 %;No
