
Macroregiuni si regiuni de dezvoltare, Ani, UM: Procente, Valoare
Regiunea NORD-EST, Anul 2016, Procente, 23.8
Regiunea NORD-EST, Anul 2017, Procente, 22.4
Regiunea SUD-EST, Anul 2007, Procente, 43.9
Regiunea SUD-EST, Anul 2008, Procente, 34.3
Regiunea SUD-EST, Anul 2009, Procente, 31.1
Regiunea SUD-EST, Anul 2010, Procente, 38.4
Regiunea SUD-EST, Anul 2011, Procente, 35.2
Regiunea SUD-EST, Anul 2012, Procente, 36.8
Regiunea SUD-EST, Anul 2013, Procente, 38.7
Regiunea SUD-EST, Anul 2014, Procente, 34.4
Regiunea SUD-EST, Anul 2015, Procente, 32
Regiunea SUD-EST, Anul 2016, Procente, 29.9
Regiunea SUD-EST, Anul 2017, Procente, 25.8
MACROREGIUNEA TREI, Anul 2007, Procente, 39.9
MACROREGIUNEA TREI, Anul 2008, Procente, 34.2
MACROREGIUNEA TREI, Anul 2009, Procente, 36.8
MACROREGIUNEA TREI, Anul 2010, Procente, 31.3
MACROREGIUNEA TREI, Anul 2011, Procente, 30.7
MACROREGIUNEA TREI, Anul 2012, Procente, 32.8
MACROREGIUNEA TREI, Anul 2013, Procente, 28.9
MACROREGIUNEA TREI, Anul 2014, Procente, 24.7
MACROREGIUNEA TREI, Anul 2015, Procente, 21.6
MACROREGIUNEA TREI, Anul 2016, Procente, 26.6
MACROREGIUNEA TREI, Anul 2017, Procente, 22.9
Regiunea SUD-MUNTENIA, Anul 2007, Procente, 43.6
Regiunea SUD-MUNTENIA, Anul 2008, Procente, 36.5
Regiunea SUD-MUNTENIA, Anul 2009, Procente, 36.9
Regiunea SUD-MUNTENIA, Anul 2010, Procente, 32.2
Regiunea SUD-MUNTENIA, Anul 2011, Procente, 33.2
Regiunea SUD-MUNTENIA, Anul 2012, Procente, 35.9
Regiunea SUD-MUNTENIA, Anul 2013, Procente, 30
Regiunea SUD-MUNTENIA, Anul 2014, Procente, 28.4
Regiunea SUD-MUNTENIA, Anul 2015, Procente, 26.8
Regiunea SUD-MUNTENIA, Anul 2016, Procente, 27.5
Regiunea SUD-MUNTENIA, Anul 2017, Procente, 25.8
Regiunea BUCURESTI - ILFOV, Anul 2007, Procente, 34.6
Regiunea BUCURESTI - ILFOV, Anul 2008, Procente, 30.8
Regiunea BUCURESTI - ILFOV, Anul 2009, Procente, 36.7
Regiunea BUCURESTI - ILFOV, Anul 2010, Procente, 30.2
Regiunea BUCURESTI - ILFOV, Anul 2011, Procente, 27.4
Regiunea BUCURESTI - ILFOV, Anul 2012, Procente, 28.6
Regiunea BUCURESTI - ILFOV, Anul 2013, Procente, 27.3
Regiunea BUCURESTI - ILFOV, Anul 2014, Procente, 19.8
Regiunea BUCURESTI - ILFOV, Anul 2015, Procente, 13.7
Regiunea BUCURESTI - ILFOV, Anul 2016, Procente, 25.4
Regiunea BUCURESTI - ILFOV, Anul 2017, Procente, 19.1
MACROREGIUNEA PATRU, Anul 2007, Procente, 36.7
MACROREGIUNEA PATRU, Anul 2008, Procente, 31.6
MACROREGIUNEA PATRU, Anul 2009, Procente, 29.9
MACROREGIUNEA PATRU, Anul 2010, Procente, 28
MACROREGIUNEA PATRU, Anul 2011, Procente, 26.4
MACROREGIUNEA PATRU, Anul 2012, Procente, 29.7
MACROREGIUNEA PATRU, Anul 2013, Procente, 27.9
MACROREGIUNEA PATRU, Anul 2014, Procente, 24.1
MACROREGIUNEA PATRU, Anul 2015, Procente, 18.9
MACROREGIUNEA PATRU, Anul 2016, Procente, 23.3
MACROREGIUNEA PATRU, Anul 2017, Procente, 18.1
Regiunea SUD-VEST OLTENIA, Anul 2007, Procente, 46.7
Regiunea SUD-VEST OLTENIA, Anul 2008, Procente, 39.2
Regiunea SUD-VEST OLTENIA, Anul 2009, Procente, 38.1
Regiunea SUD-VEST OLTENIA, Anul 2010, Procente, 32.7
Regiunea SUD-VEST OLTENIA, Anul 2011, Procente, 31.7
Regiunea SUD-VEST OLTENIA, Anul 2012, Procente, 32.6
Regiunea SUD-VEST OLTENIA, Anul 2013, Procente, 27.1
Regiunea SUD-VEST OLTENIA, Anul 2014, Procente, 25.3
Regiunea SUD-VEST OLTENIA, Anul 2015, Procente, 20.8
Regiunea SUD-VEST OLTENIA, Anul 2016, Procente, 24.4
Regiunea SUD-VEST OLTENIA, Anul 2017, Procente, 22
Regiunea VEST, Anul 2007, Procente, 25.2
Regiunea VEST, Anul 2008, Procente, 22.8
Regiunea VEST, Anul 2009, Procente, 20.6
Regiunea VEST, Anul 2010, Procente, 22.8
Regiunea VEST, Anul 2011, Procente, 20.4
Regiunea VEST, Anul 2012, Procente, 26.4
Regiunea VEST, Anul 2013, Procente, 28.8
Regiunea VEST, Anul 2014, Procente, 22.7
Regiunea VEST, Anul 2015, Procente, 16.4
Regiunea VEST, Anul 2016, Procente, 22
Regiunea VEST, Anul 2017, Procente, 13.8
