
Macroregiuni si regiuni de dezvoltare, Ani, UM: Procente, Valoare
MACROREGIUNEA DOI, Anul 2016, Procente, 34
MACROREGIUNEA DOI, Anul 2017, Procente, 31.8
Regiunea NORD-EST, Anul 2007, Procente, 36.6
Regiunea NORD-EST, Anul 2008, Procente, 33.4
Regiunea NORD-EST, Anul 2009, Procente, 31.1
Regiunea NORD-EST, Anul 2010, Procente, 30.8
Regiunea NORD-EST, Anul 2011, Procente, 32.1
Regiunea NORD-EST, Anul 2012, Procente, 31.7
Regiunea NORD-EST, Anul 2013, Procente, 34.5
Regiunea NORD-EST, Anul 2014, Procente, 36.1
Regiunea NORD-EST, Anul 2015, Procente, 35.9
Regiunea NORD-EST, Anul 2016, Procente, 36.1
Regiunea NORD-EST, Anul 2017, Procente, 33.4
Regiunea SUD-EST, Anul 2007, Procente, 30.2
Regiunea SUD-EST, Anul 2008, Procente, 26.1
Regiunea SUD-EST, Anul 2009, Procente, 21.9
Regiunea SUD-EST, Anul 2010, Procente, 27.8
Regiunea SUD-EST, Anul 2011, Procente, 29.2
Regiunea SUD-EST, Anul 2012, Procente, 31.9
Regiunea SUD-EST, Anul 2013, Procente, 32.2
Regiunea SUD-EST, Anul 2014, Procente, 34
Regiunea SUD-EST, Anul 2015, Procente, 32.4
Regiunea SUD-EST, Anul 2016, Procente, 31.2
Regiunea SUD-EST, Anul 2017, Procente, 29.6
MACROREGIUNEA TREI, Anul 2007, Procente, 19.4
MACROREGIUNEA TREI, Anul 2008, Procente, 15.8
MACROREGIUNEA TREI, Anul 2009, Procente, 15.6
MACROREGIUNEA TREI, Anul 2010, Procente, 13.8
MACROREGIUNEA TREI, Anul 2011, Procente, 13.7
MACROREGIUNEA TREI, Anul 2012, Procente, 13.9
MACROREGIUNEA TREI, Anul 2013, Procente, 14.8
MACROREGIUNEA TREI, Anul 2014, Procente, 16.7
MACROREGIUNEA TREI, Anul 2015, Procente, 20.7
MACROREGIUNEA TREI, Anul 2016, Procente, 18.5
MACROREGIUNEA TREI, Anul 2017, Procente, 16.8
Regiunea SUD-MUNTENIA, Anul 2007, Procente, 26.8
Regiunea SUD-MUNTENIA, Anul 2008, Procente, 22.9
Regiunea SUD-MUNTENIA, Anul 2009, Procente, 22.4
Regiunea SUD-MUNTENIA, Anul 2010, Procente, 21.2
Regiunea SUD-MUNTENIA, Anul 2011, Procente, 21.1
Regiunea SUD-MUNTENIA, Anul 2012, Procente, 22.1
Regiunea SUD-MUNTENIA, Anul 2013, Procente, 22.7
Regiunea SUD-MUNTENIA, Anul 2014, Procente, 25.5
Regiunea SUD-MUNTENIA, Anul 2015, Procente, 30.6
Regiunea SUD-MUNTENIA, Anul 2016, Procente, 24.8
Regiunea SUD-MUNTENIA, Anul 2017, Procente, 24.9
Regiunea BUCURESTI - ILFOV, Anul 2007, Procente, 8.9
Regiunea BUCURESTI - ILFOV, Anul 2008, Procente, 5.6
Regiunea BUCURESTI - ILFOV, Anul 2009, Procente, 6
Regiunea BUCURESTI - ILFOV, Anul 2010, Procente, 3.4
Regiunea BUCURESTI - ILFOV, Anul 2011, Procente, 3.5
Regiunea BUCURESTI - ILFOV, Anul 2012, Procente, 2.6
Regiunea BUCURESTI - ILFOV, Anul 2013, Procente, 4.1
Regiunea BUCURESTI - ILFOV, Anul 2014, Procente, 4.8
Regiunea BUCURESTI - ILFOV, Anul 2015, Procente, 5.9
Regiunea BUCURESTI - ILFOV, Anul 2016, Procente, 10.2
Regiunea BUCURESTI - ILFOV, Anul 2017, Procente, 6.1
MACROREGIUNEA PATRU, Anul 2007, Procente, 24.4
MACROREGIUNEA PATRU, Anul 2008, Procente, 27.6
MACROREGIUNEA PATRU, Anul 2009, Procente, 27.3
MACROREGIUNEA PATRU, Anul 2010, Procente, 24.9
MACROREGIUNEA PATRU, Anul 2011, Procente, 24.6
MACROREGIUNEA PATRU, Anul 2012, Procente, 28.7
MACROREGIUNEA PATRU, Anul 2013, Procente, 25.6
MACROREGIUNEA PATRU, Anul 2014, Procente, 27.9
MACROREGIUNEA PATRU, Anul 2015, Procente, 26.7
MACROREGIUNEA PATRU, Anul 2016, Procente, 29.9
MACROREGIUNEA PATRU, Anul 2017, Procente, 27.7
Regiunea SUD-VEST OLTENIA, Anul 2007, Procente, 36.9
Regiunea SUD-VEST OLTENIA, Anul 2008, Procente, 37.6
Regiunea SUD-VEST OLTENIA, Anul 2009, Procente, 37.3
Regiunea SUD-VEST OLTENIA, Anul 2010, Procente, 29.1
Regiunea SUD-VEST OLTENIA, Anul 2011, Procente, 28.1
Regiunea SUD-VEST OLTENIA, Anul 2012, Procente, 31.2
Regiunea SUD-VEST OLTENIA, Anul 2013, Procente, 28.2
Regiunea SUD-VEST OLTENIA, Anul 2014, Procente, 28.3
Regiunea SUD-VEST OLTENIA, Anul 2015, Procente, 32.1
Regiunea SUD-VEST OLTENIA, Anul 2016, Procente, 34.2
Regiunea SUD-VEST OLTENIA, Anul 2017, Procente, 33.4
Regiunea VEST, Anul 2007, Procente, 9.8
Regiunea VEST, Anul 2008, Procente, 16.1
Regiunea VEST, Anul 2009, Procente, 16.1
Regiunea VEST, Anul 2010, Procente, 20.3
Regiunea VEST, Anul 2011, Procente, 20.5
Regiunea VEST, Anul 2012, Procente, 25.8
Regiunea VEST, Anul 2013, Procente, 22.7
Regiunea VEST, Anul 2014, Procente, 27.5
Regiunea VEST, Anul 2015, Procente, 19.8
Regiunea VEST, Anul 2016, Procente, 25.1
Regiunea VEST, Anul 2017, Procente, 21.4
