
Macroregiuni si regiuni de dezvoltare, Ani, UM: Procente, Valoare
MACROREGIUNEA PATRU, Anul 2011, Procente, 40.6
MACROREGIUNEA PATRU, Anul 2012, Procente, 45.3
MACROREGIUNEA PATRU, Anul 2013, Procente, 42.6
MACROREGIUNEA PATRU, Anul 2014, Procente, 40.5
MACROREGIUNEA PATRU, Anul 2015, Procente, 37.6
MACROREGIUNEA PATRU, Anul 2016, Procente, 42.6
MACROREGIUNEA PATRU, Anul 2017, Procente, 39.2
Regiunea SUD-VEST OLTENIA, Anul 2007, Procente, 57
Regiunea SUD-VEST OLTENIA, Anul 2008, Procente, 56.6
Regiunea SUD-VEST OLTENIA, Anul 2009, Procente, 53.2
Regiunea SUD-VEST OLTENIA, Anul 2010, Procente, 47.5
Regiunea SUD-VEST OLTENIA, Anul 2011, Procente, 45.8
Regiunea SUD-VEST OLTENIA, Anul 2012, Procente, 48.4
Regiunea SUD-VEST OLTENIA, Anul 2013, Procente, 44.6
Regiunea SUD-VEST OLTENIA, Anul 2014, Procente, 40.9
Regiunea SUD-VEST OLTENIA, Anul 2015, Procente, 41.9
Regiunea SUD-VEST OLTENIA, Anul 2016, Procente, 44.2
Regiunea SUD-VEST OLTENIA, Anul 2017, Procente, 45.3
Regiunea VEST, Anul 2007, Procente, 33
Regiunea VEST, Anul 2008, Procente, 34.3
Regiunea VEST, Anul 2009, Procente, 31.8
Regiunea VEST, Anul 2010, Procente, 36.2
Regiunea VEST, Anul 2011, Procente, 34.6
Regiunea VEST, Anul 2012, Procente, 41.7
Regiunea VEST, Anul 2013, Procente, 40.4
Regiunea VEST, Anul 2014, Procente, 40.1
Regiunea VEST, Anul 2015, Procente, 32
Regiunea VEST, Anul 2016, Procente, 40.7
Regiunea VEST, Anul 2017, Procente, 32.5
