Categorii de personal sanitar, Forme de proprietate , Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2003, Numar persoane, 2521
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2004, Numar persoane, 2457
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2005, Numar persoane, 2520
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2006, Numar persoane, 2713
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2007, Numar persoane, 2907
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2008, Numar persoane, 3078
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2009, Numar persoane, 3361
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2010, Numar persoane, 3569
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2011, Numar persoane, 3723
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2012, Numar persoane, 3941
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2013, Numar persoane, 4087
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2014, Numar persoane, 4184
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2015, Numar persoane, 4484
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2016, Numar persoane, 4476
Stomatologi, Total, Total, MACROREGIUNEA UNU, Anul 2017, Numar persoane, 4409
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 756
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 748
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 789
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 1046
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 1130
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 1151
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 1381
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 1271
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 1440
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 1607
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 1686
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 1769
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 1891
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 2070
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 2191
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 2361
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 2434
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 2503
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2015, Numar persoane, 2690
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2016, Numar persoane, 2663
Stomatologi, Total, Total, Regiunea NORD-VEST, Anul 2017, Numar persoane, 2577
Stomatologi, Total, Total, Bihor, Anul 1997, Numar persoane, 132
Stomatologi, Total, Total, Bihor, Anul 1998, Numar persoane, 135
Stomatologi, Total, Total, Bihor, Anul 1999, Numar persoane, 118
Stomatologi, Total, Total, Bihor, Anul 2000, Numar persoane, 238
Stomatologi, Total, Total, Bihor, Anul 2001, Numar persoane, 304
Stomatologi, Total, Total, Bihor, Anul 2002, Numar persoane, 316
Stomatologi, Total, Total, Bihor, Anul 2003, Numar persoane, 378
Stomatologi, Total, Total, Bihor, Anul 2004, Numar persoane, 291
Stomatologi, Total, Total, Bihor, Anul 2005, Numar persoane, 365
Stomatologi, Total, Total, Bihor, Anul 2006, Numar persoane, 383
Stomatologi, Total, Total, Bihor, Anul 2007, Numar persoane, 435
Stomatologi, Total, Total, Bihor, Anul 2008, Numar persoane, 483
Stomatologi, Total, Total, Bihor, Anul 2009, Numar persoane, 517
Stomatologi, Total, Total, Bihor, Anul 2010, Numar persoane, 581
Stomatologi, Total, Total, Bihor, Anul 2011, Numar persoane, 593
Stomatologi, Total, Total, Bihor, Anul 2012, Numar persoane, 629
Stomatologi, Total, Total, Bihor, Anul 2013, Numar persoane, 645
Stomatologi, Total, Total, Bihor, Anul 2014, Numar persoane, 619
Stomatologi, Total, Total, Bihor, Anul 2015, Numar persoane, 701
Stomatologi, Total, Total, Bihor, Anul 2016, Numar persoane, 728
Stomatologi, Total, Total, Bihor, Anul 2017, Numar persoane, 739
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 1997, Numar persoane, 68
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 1998, Numar persoane, 73
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 1999, Numar persoane, 84
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2000, Numar persoane, 80
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2001, Numar persoane, 97
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2002, Numar persoane, 78
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2003, Numar persoane, 88
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2004, Numar persoane, 99
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2005, Numar persoane, 103
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2006, Numar persoane, 143
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2007, Numar persoane, 124
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2008, Numar persoane, 131
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2009, Numar persoane, 146
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2010, Numar persoane, 150
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2011, Numar persoane, 135
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2012, Numar persoane, 168
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2013, Numar persoane, 171
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2014, Numar persoane, 186
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2015, Numar persoane, 169
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2016, Numar persoane, 170
Stomatologi, Total, Total, Bistrita-Nasaud, Anul 2017, Numar persoane, 170
Stomatologi, Total, Total, Cluj, Anul 1997, Numar persoane, 319
Stomatologi, Total, Total, Cluj, Anul 1998, Numar persoane, 315
Stomatologi, Total, Total, Cluj, Anul 1999, Numar persoane, 346
Stomatologi, Total, Total, Cluj, Anul 2000, Numar persoane, 492
Stomatologi, Total, Total, Cluj, Anul 2001, Numar persoane, 460
Stomatologi, Total, Total, Cluj, Anul 2002, Numar persoane, 472
Stomatologi, Total, Total, Cluj, Anul 2003, Numar persoane, 577
Stomatologi, Total, Total, Cluj, Anul 2004, Numar persoane, 548
Stomatologi, Total, Total, Cluj, Anul 2005, Numar persoane, 608
Stomatologi, Total, Total, Cluj, Anul 2006, Numar persoane, 641
Stomatologi, Total, Total, Cluj, Anul 2007, Numar persoane, 645
Stomatologi, Total, Total, Cluj, Anul 2008, Numar persoane, 633
Stomatologi, Total, Total, Cluj, Anul 2009, Numar persoane, 677
Stomatologi, Total, Total, Cluj, Anul 2010, Numar persoane, 768
Stomatologi, Total, Total, Cluj, Anul 2011, Numar persoane, 857
Stomatologi, Total, Total, Cluj, Anul 2012, Numar persoane, 927
Stomatologi, Total, Total, Cluj, Anul 2013, Numar persoane, 946
Stomatologi, Total, Total, Cluj, Anul 2014, Numar persoane, 987
Stomatologi, Total, Total, Cluj, Anul 2015, Numar persoane, 1090
Stomatologi, Total, Total, Cluj, Anul 2016, Numar persoane, 1021
Stomatologi, Total, Total, Cluj, Anul 2017, Numar persoane, 953
Stomatologi, Total, Total, Maramures, Anul 1997, Numar persoane, 137
Stomatologi, Total, Total, Maramures, Anul 1998, Numar persoane, 133
Stomatologi, Total, Total, Maramures, Anul 1999, Numar persoane, 146
Stomatologi, Total, Total, Maramures, Anul 2000, Numar persoane, 145
Stomatologi, Total, Total, Maramures, Anul 2001, Numar persoane, 152
Stomatologi, Total, Total, Maramures, Anul 2002, Numar persoane, 158
Stomatologi, Total, Total, Maramures, Anul 2003, Numar persoane, 198
Stomatologi, Total, Total, Maramures, Anul 2004, Numar persoane, 177
Stomatologi, Total, Total, Maramures, Anul 2005, Numar persoane, 190
Stomatologi, Total, Total, Maramures, Anul 2006, Numar persoane, 224
Stomatologi, Total, Total, Maramures, Anul 2007, Numar persoane, 246
Stomatologi, Total, Total, Maramures, Anul 2008, Numar persoane, 264
Stomatologi, Total, Total, Maramures, Anul 2009, Numar persoane, 278
Stomatologi, Total, Total, Maramures, Anul 2010, Numar persoane, 285
Stomatologi, Total, Total, Maramures, Anul 2011, Numar persoane, 298
Stomatologi, Total, Total, Maramures, Anul 2012, Numar persoane, 307
Stomatologi, Total, Total, Maramures, Anul 2013, Numar persoane, 321
Stomatologi, Total, Total, Maramures, Anul 2014, Numar persoane, 343
Stomatologi, Total, Total, Maramures, Anul 2015, Numar persoane, 343
Stomatologi, Total, Total, Maramures, Anul 2016, Numar persoane, 353
Stomatologi, Total, Total, Maramures, Anul 2017, Numar persoane, 350
Stomatologi, Total, Total, Satu Mare, Anul 1997, Numar persoane, 60
Stomatologi, Total, Total, Satu Mare, Anul 1998, Numar persoane, 53
Stomatologi, Total, Total, Satu Mare, Anul 1999, Numar persoane, 52
Stomatologi, Total, Total, Satu Mare, Anul 2000, Numar persoane, 43
Stomatologi, Total, Total, Satu Mare, Anul 2001, Numar persoane, 77
Stomatologi, Total, Total, Satu Mare, Anul 2002, Numar persoane, 85
Stomatologi, Total, Total, Satu Mare, Anul 2003, Numar persoane, 94
Stomatologi, Total, Total, Satu Mare, Anul 2004, Numar persoane, 107
Stomatologi, Total, Total, Satu Mare, Anul 2005, Numar persoane, 119
Stomatologi, Total, Total, Satu Mare, Anul 2006, Numar persoane, 143
Stomatologi, Total, Total, Satu Mare, Anul 2007, Numar persoane, 162
Stomatologi, Total, Total, Satu Mare, Anul 2008, Numar persoane, 179
Stomatologi, Total, Total, Satu Mare, Anul 2009, Numar persoane, 188
Stomatologi, Total, Total, Satu Mare, Anul 2010, Numar persoane, 194
Stomatologi, Total, Total, Satu Mare, Anul 2011, Numar persoane, 208
Stomatologi, Total, Total, Satu Mare, Anul 2012, Numar persoane, 218
Stomatologi, Total, Total, Satu Mare, Anul 2013, Numar persoane, 228
Stomatologi, Total, Total, Satu Mare, Anul 2014, Numar persoane, 236
Stomatologi, Total, Total, Satu Mare, Anul 2015, Numar persoane, 242
Stomatologi, Total, Total, Satu Mare, Anul 2016, Numar persoane, 231
Stomatologi, Total, Total, Satu Mare, Anul 2017, Numar persoane, 217
Stomatologi, Total, Total, Salaj, Anul 1997, Numar persoane, 40
Stomatologi, Total, Total, Salaj, Anul 1998, Numar persoane, 39
Stomatologi, Total, Total, Salaj, Anul 1999, Numar persoane, 43
Stomatologi, Total, Total, Salaj, Anul 2000, Numar persoane, 48
Stomatologi, Total, Total, Salaj, Anul 2001, Numar persoane, 40
Stomatologi, Total, Total, Salaj, Anul 2002, Numar persoane, 42
Stomatologi, Total, Total, Salaj, Anul 2003, Numar persoane, 46
Stomatologi, Total, Total, Salaj, Anul 2004, Numar persoane, 49
Stomatologi, Total, Total, Salaj, Anul 2005, Numar persoane, 55
Stomatologi, Total, Total, Salaj, Anul 2006, Numar persoane, 73
Stomatologi, Total, Total, Salaj, Anul 2007, Numar persoane, 74
Stomatologi, Total, Total, Salaj, Anul 2008, Numar persoane, 79
Stomatologi, Total, Total, Salaj, Anul 2009, Numar persoane, 85
Stomatologi, Total, Total, Salaj, Anul 2010, Numar persoane, 92
Stomatologi, Total, Total, Salaj, Anul 2011, Numar persoane, 100
Stomatologi, Total, Total, Salaj, Anul 2012, Numar persoane, 112
Stomatologi, Total, Total, Salaj, Anul 2013, Numar persoane, 123
Stomatologi, Total, Total, Salaj, Anul 2014, Numar persoane, 132
Stomatologi, Total, Total, Salaj, Anul 2015, Numar persoane, 145
Stomatologi, Total, Total, Salaj, Anul 2016, Numar persoane, 160
Stomatologi, Total, Total, Salaj, Anul 2017, Numar persoane, 148
Stomatologi, Total, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 867
Stomatologi, Total, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 871
Stomatologi, Total, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 987
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 922
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 1034
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 1148
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 1140
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 1186
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 1080
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 1106
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 1221
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 1309
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 1470
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 1499
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 1532
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 1580
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 1653
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 1681
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2015, Numar persoane, 1794
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2016, Numar persoane, 1813
Stomatologi, Total, Total, Regiunea CENTRU, Anul 2017, Numar persoane, 1832
Stomatologi, Total, Total, Alba, Anul 1997, Numar persoane, 132
Stomatologi, Total, Total, Alba, Anul 1998, Numar persoane, 136
Stomatologi, Total, Total, Alba, Anul 1999, Numar persoane, 134
Stomatologi, Total, Total, Alba, Anul 2000, Numar persoane, 122
Stomatologi, Total, Total, Alba, Anul 2001, Numar persoane, 154
Stomatologi, Total, Total, Alba, Anul 2002, Numar persoane, 159
Stomatologi, Total, Total, Alba, Anul 2003, Numar persoane, 153
Stomatologi, Total, Total, Alba, Anul 2004, Numar persoane, 169
Stomatologi, Total, Total, Alba, Anul 2005, Numar persoane, 160
Stomatologi, Total, Total, Alba, Anul 2006, Numar persoane, 165
Stomatologi, Total, Total, Alba, Anul 2007, Numar persoane, 161
Stomatologi, Total, Total, Alba, Anul 2008, Numar persoane, 178
Stomatologi, Total, Total, Alba, Anul 2009, Numar persoane, 206
Stomatologi, Total, Total, Alba, Anul 2010, Numar persoane, 202
Stomatologi, Total, Total, Alba, Anul 2011, Numar persoane, 200
Stomatologi, Total, Total, Alba, Anul 2012, Numar persoane, 199
Stomatologi, Total, Total, Alba, Anul 2013, Numar persoane, 200
Stomatologi, Total, Total, Alba, Anul 2014, Numar persoane, 195
Stomatologi, Total, Total, Alba, Anul 2015, Numar persoane, 197
Stomatologi, Total, Total, Alba, Anul 2016, Numar persoane, 200
Stomatologi, Total, Total, Alba, Anul 2017, Numar persoane, 168
Stomatologi, Total, Total, Brasov, Anul 1997, Numar persoane, 226
Stomatologi, Total, Total, Brasov, Anul 1998, Numar persoane, 228
Stomatologi, Total, Total, Brasov, Anul 1999, Numar persoane, 288
Stomatologi, Total, Total, Brasov, Anul 2000, Numar persoane, 276
Stomatologi, Total, Total, Brasov, Anul 2001, Numar persoane, 305
Stomatologi, Total, Total, Brasov, Anul 2002, Numar persoane, 296
Stomatologi, Total, Total, Brasov, Anul 2003, Numar persoane, 309
Stomatologi, Total, Total, Brasov, Anul 2004, Numar persoane, 295
Stomatologi, Total, Total, Brasov, Anul 2005, Numar persoane, 232
Stomatologi, Total, Total, Brasov, Anul 2006, Numar persoane, 243
Stomatologi, Total, Total, Brasov, Anul 2007, Numar persoane, 301
Stomatologi, Total, Total, Brasov, Anul 2008, Numar persoane, 309
Stomatologi, Total, Total, Brasov, Anul 2009, Numar persoane, 328
Stomatologi, Total, Total, Brasov, Anul 2010, Numar persoane, 340
Stomatologi, Total, Total, Brasov, Anul 2011, Numar persoane, 356
Stomatologi, Total, Total, Brasov, Anul 2012, Numar persoane, 385
Stomatologi, Total, Total, Brasov, Anul 2013, Numar persoane, 387
Stomatologi, Total, Total, Brasov, Anul 2014, Numar persoane, 387
Stomatologi, Total, Total, Brasov, Anul 2015, Numar persoane, 404
Stomatologi, Total, Total, Brasov, Anul 2016, Numar persoane, 416
Stomatologi, Total, Total, Brasov, Anul 2017, Numar persoane, 426
Stomatologi, Total, Total, Covasna, Anul 1997, Numar persoane, 60
Stomatologi, Total, Total, Covasna, Anul 1998, Numar persoane, 58
Stomatologi, Total, Total, Covasna, Anul 1999, Numar persoane, 48
Stomatologi, Total, Total, Covasna, Anul 2000, Numar persoane, 63
Stomatologi, Total, Total, Covasna, Anul 2001, Numar persoane, 63
Stomatologi, Total, Total, Covasna, Anul 2002, Numar persoane, 56
Stomatologi, Total, Total, Covasna, Anul 2003, Numar persoane, 64
Stomatologi, Total, Total, Covasna, Anul 2004, Numar persoane, 73
Stomatologi, Total, Total, Covasna, Anul 2005, Numar persoane, 71
Stomatologi, Total, Total, Covasna, Anul 2006, Numar persoane, 70
Stomatologi, Total, Total, Covasna, Anul 2007, Numar persoane, 75
Stomatologi, Total, Total, Covasna, Anul 2008, Numar persoane, 74
Stomatologi, Total, Total, Covasna, Anul 2009, Numar persoane, 76
Stomatologi, Total, Total, Covasna, Anul 2010, Numar persoane, 75
Stomatologi, Total, Total, Covasna, Anul 2011, Numar persoane, 78
Stomatologi, Total, Total, Covasna, Anul 2012, Numar persoane, 79
Stomatologi, Total, Total, Covasna, Anul 2013, Numar persoane, 81
Stomatologi, Total, Total, Covasna, Anul 2014, Numar persoane, 91
Stomatologi, Total, Total, Covasna, Anul 2015, Numar persoane, 98
Stomatologi, Total, Total, Covasna, Anul 2016, Numar persoane, 105
Stomatologi, Total, Total, Covasna, Anul 2017, Numar persoane, 102
Stomatologi, Total, Total, Harghita, Anul 1997, Numar persoane, 80
Stomatologi, Total, Total, Harghita, Anul 1998, Numar persoane, 82
Stomatologi, Total, Total, Harghita, Anul 1999, Numar persoane, 119
Stomatologi, Total, Total, Harghita, Anul 2000, Numar persoane, 69
Stomatologi, Total, Total, Harghita, Anul 2001, Numar persoane, 69
Stomatologi, Total, Total, Harghita, Anul 2002, Numar persoane, 77
Stomatologi, Total, Total, Harghita, Anul 2003, Numar persoane, 73
Stomatologi, Total, Total, Harghita, Anul 2004, Numar persoane, 86
Stomatologi, Total, Total, Harghita, Anul 2005, Numar persoane, 92
Stomatologi, Total, Total, Harghita, Anul 2006, Numar persoane, 92
Stomatologi, Total, Total, Harghita, Anul 2007, Numar persoane, 111
Stomatologi, Total, Total, Harghita, Anul 2008, Numar persoane, 118
Stomatologi, Total, Total, Harghita, Anul 2009, Numar persoane, 131
Stomatologi, Total, Total, Harghita, Anul 2010, Numar persoane, 139
Stomatologi, Total, Total, Harghita, Anul 2011, Numar persoane, 144
Stomatologi, Total, Total, Harghita, Anul 2012, Numar persoane, 147
Stomatologi, Total, Total, Harghita, Anul 2013, Numar persoane, 150
Stomatologi, Total, Total, Harghita, Anul 2014, Numar persoane, 157
Stomatologi, Total, Total, Harghita, Anul 2015, Numar persoane, 161
Stomatologi, Total, Total, Harghita, Anul 2016, Numar persoane, 164
Stomatologi, Total, Total, Harghita, Anul 2017, Numar persoane, 171
Stomatologi, Total, Total, Mures, Anul 1997, Numar persoane, 190
Stomatologi, Total, Total, Mures, Anul 1998, Numar persoane, 195
Stomatologi, Total, Total, Mures, Anul 1999, Numar persoane, 207
Stomatologi, Total, Total, Mures, Anul 2000, Numar persoane, 197
Stomatologi, Total, Total, Mures, Anul 2001, Numar persoane, 226
Stomatologi, Total, Total, Mures, Anul 2002, Numar persoane, 268
Stomatologi, Total, Total, Mures, Anul 2003, Numar persoane, 277
Stomatologi, Total, Total, Mures, Anul 2004, Numar persoane, 285
Stomatologi, Total, Total, Mures, Anul 2005, Numar persoane, 250
Stomatologi, Total, Total, Mures, Anul 2006, Numar persoane, 260
Stomatologi, Total, Total, Mures, Anul 2007, Numar persoane, 280
Stomatologi, Total, Total, Mures, Anul 2008, Numar persoane, 322
Stomatologi, Total, Total, Mures, Anul 2009, Numar persoane, 359
Stomatologi, Total, Total, Mures, Anul 2010, Numar persoane, 397
Stomatologi, Total, Total, Mures, Anul 2011, Numar persoane, 401
Stomatologi, Total, Total, Mures, Anul 2012, Numar persoane, 401
Stomatologi, Total, Total, Mures, Anul 2013, Numar persoane, 445
Stomatologi, Total, Total, Mures, Anul 2014, Numar persoane, 435
Stomatologi, Total, Total, Mures, Anul 2015, Numar persoane, 488
Stomatologi, Total, Total, Mures, Anul 2016, Numar persoane, 462
Stomatologi, Total, Total, Mures, Anul 2017, Numar persoane, 488
Stomatologi, Total, Total, Sibiu, Anul 1997, Numar persoane, 179
Stomatologi, Total, Total, Sibiu, Anul 1998, Numar persoane, 172
Stomatologi, Total, Total, Sibiu, Anul 1999, Numar persoane, 191
Stomatologi, Total, Total, Sibiu, Anul 2000, Numar persoane, 195
Stomatologi, Total, Total, Sibiu, Anul 2001, Numar persoane, 217
Stomatologi, Total, Total, Sibiu, Anul 2002, Numar persoane, 292
Stomatologi, Total, Total, Sibiu, Anul 2003, Numar persoane, 264
Stomatologi, Total, Total, Sibiu, Anul 2004, Numar persoane, 278
Stomatologi, Total, Total, Sibiu, Anul 2005, Numar persoane, 275
Stomatologi, Total, Total, Sibiu, Anul 2006, Numar persoane, 276
Stomatologi, Total, Total, Sibiu, Anul 2007, Numar persoane, 293
Stomatologi, Total, Total, Sibiu, Anul 2008, Numar persoane, 308
Stomatologi, Total, Total, Sibiu, Anul 2009, Numar persoane, 370
Stomatologi, Total, Total, Sibiu, Anul 2010, Numar persoane, 346
Stomatologi, Total, Total, Sibiu, Anul 2011, Numar persoane, 353
Stomatologi, Total, Total, Sibiu, Anul 2012, Numar persoane, 369
Stomatologi, Total, Total, Sibiu, Anul 2013, Numar persoane, 390
Stomatologi, Total, Total, Sibiu, Anul 2014, Numar persoane, 416
Stomatologi, Total, Total, Sibiu, Anul 2015, Numar persoane, 446
Stomatologi, Total, Total, Sibiu, Anul 2016, Numar persoane, 466
Stomatologi, Total, Total, Sibiu, Anul 2017, Numar persoane, 477
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 1997, Numar persoane, 1648
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 1998, Numar persoane, 1721
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 1999, Numar persoane, 1735
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2000, Numar persoane, 1960
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2001, Numar persoane, 2234
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2002, Numar persoane, 2317
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2003, Numar persoane, 2564
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2004, Numar persoane, 2568
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2005, Numar persoane, 2573
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2006, Numar persoane, 2568
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2007, Numar persoane, 2800
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2008, Numar persoane, 3048
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2009, Numar persoane, 2979
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2010, Numar persoane, 2964
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2011, Numar persoane, 3366
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2012, Numar persoane, 3358
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2013, Numar persoane, 3408
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2014, Numar persoane, 3530
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2015, Numar persoane, 3763
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2016, Numar persoane, 4251
Stomatologi, Total, Total, MACROREGIUNEA DOI, Anul 2017, Numar persoane, 3585
Stomatologi, Total, Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 916
Stomatologi, Total, Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 978
Stomatologi, Total, Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 1027
Stomatologi, Total, Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 1112
Stomatologi, Total, Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 1287
Stomatologi, Total, Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 1307
Stomatologi, Total, Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 1507
Stomatologi, Total, Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 1516
Stomatologi, Total, Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 1489
