Unitati  capacitate  cheltuieli de functionare, Macroregiuni  regiuni de dezvoltare si judete, Ani, Um: Numar, Valoare
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2000, Numar persoane, 5077
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2001, Numar persoane, 4782
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2002, Numar persoane, 3697
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2003, Numar persoane, 2444
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2004, Numar persoane, 2627
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2005, Numar persoane, 2580
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2006, Numar persoane, 2481
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2007, Numar persoane, 2208
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2008, Numar persoane, 1977
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2009, Numar persoane, 2088
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2010, Numar persoane, 2399
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2011, Numar persoane, 1616
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2012, Numar persoane, 1945
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2013, Numar persoane, 1994
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2014, Numar persoane, 2021
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2015, Numar persoane, 2010
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2016, Numar persoane, 1502
Cantine publice-numar mediu zilnic de beneficiari, Regiunea NORD-VEST, Anul 2017, Numar persoane, 1641
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 1994, Numar persoane, 260
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 1995, Numar persoane, 610
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 1998, Numar persoane, 1041
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 1999, Numar persoane, 715
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2000, Numar persoane, 1152
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2001, Numar persoane, 709
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2002, Numar persoane, 791
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2003, Numar persoane, 422
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2004, Numar persoane, 423
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2005, Numar persoane, 423
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2006, Numar persoane, 503
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2007, Numar persoane, 637
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2008, Numar persoane, 423
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2009, Numar persoane, 408
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2010, Numar persoane, 503
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2011, Numar persoane, 188
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2012, Numar persoane, 449
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2013, Numar persoane, 99
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2014, Numar persoane, 134
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2015, Numar persoane, 200
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2016, Numar persoane, 68
Cantine publice-numar mediu zilnic de beneficiari, Bihor, Anul 2017, Numar persoane, 77
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 1994, Numar persoane, 365
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 1995, Numar persoane, 415
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 1996, Numar persoane, 359
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 1997, Numar persoane, 254
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 1998, Numar persoane, 329
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 1999, Numar persoane, 345
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2000, Numar persoane, 389
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2001, Numar persoane, 767
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2002, Numar persoane, 304
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2003, Numar persoane, 197
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2004, Numar persoane, 148
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2005, Numar persoane, 112
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2006, Numar persoane, 80
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2007, Numar persoane, 53
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2008, Numar persoane, 58
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2009, Numar persoane, 69
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2010, Numar persoane, 91
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2011, Numar persoane, 86
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2012, Numar persoane, 72
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2013, Numar persoane, 79
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2014, Numar persoane, 51
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2015, Numar persoane, 50
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2016, Numar persoane, 38
Cantine publice-numar mediu zilnic de beneficiari, Bistrita-Nasaud, Anul 2017, Numar persoane, 32
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 1994, Numar persoane, 720
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 1995, Numar persoane, 1016
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 1996, Numar persoane, 1610
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 1997, Numar persoane, 1477
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 1998, Numar persoane, 1382
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 1999, Numar persoane, 1997
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2000, Numar persoane, 1909
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2001, Numar persoane, 1676
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2002, Numar persoane, 1514
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2003, Numar persoane, 1277
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2004, Numar persoane, 1229
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2005, Numar persoane, 1245
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2006, Numar persoane, 1151
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2007, Numar persoane, 954
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2008, Numar persoane, 803
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2009, Numar persoane, 849
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2010, Numar persoane, 1040
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2011, Numar persoane, 830
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2012, Numar persoane, 963
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2013, Numar persoane, 1003
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2014, Numar persoane, 1007
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2015, Numar persoane, 840
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2016, Numar persoane, 866
Cantine publice-numar mediu zilnic de beneficiari, Cluj, Anul 2017, Numar persoane, 795
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 1994, Numar persoane, 380
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 1995, Numar persoane, 580
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 1996, Numar persoane, 574
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 1997, Numar persoane, 629
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 1998, Numar persoane, 710
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 1999, Numar persoane, 635
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2000, Numar persoane, 669
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2001, Numar persoane, 635
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2002, Numar persoane, 477
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2003, Numar persoane, 250
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2004, Numar persoane, 365
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2005, Numar persoane, 462
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2006, Numar persoane, 467
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2007, Numar persoane, 354
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2008, Numar persoane, 500
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2009, Numar persoane, 470
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2010, Numar persoane, 473
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2011, Numar persoane, 388
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2012, Numar persoane, 343
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2013, Numar persoane, 438
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2014, Numar persoane, 439
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2015, Numar persoane, 546
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2016, Numar persoane, 367
Cantine publice-numar mediu zilnic de beneficiari, Maramures, Anul 2017, Numar persoane, 382
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 1994, Numar persoane, 678
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 1995, Numar persoane, 570
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 1996, Numar persoane, 563
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 1997, Numar persoane, 651
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 1998, Numar persoane, 802
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 1999, Numar persoane, 701
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2000, Numar persoane, 751
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2001, Numar persoane, 699
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2002, Numar persoane, 425
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2003, Numar persoane, 198
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2004, Numar persoane, 391
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2005, Numar persoane, 274
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2006, Numar persoane, 220
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2007, Numar persoane, 132
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2008, Numar persoane, 120
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2009, Numar persoane, 190
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2010, Numar persoane, 190
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2013, Numar persoane, 254
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2014, Numar persoane, 250
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2015, Numar persoane, 250
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2016, Numar persoane, 51
Cantine publice-numar mediu zilnic de beneficiari, Satu Mare, Anul 2017, Numar persoane, 275
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 1994, Numar persoane, 96
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 1995, Numar persoane, 75
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 1996, Numar persoane, 199
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 1997, Numar persoane, 209
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 1998, Numar persoane, 222
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 1999, Numar persoane, 206
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2000, Numar persoane, 207
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2001, Numar persoane, 296
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2002, Numar persoane, 186
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2003, Numar persoane, 100
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2004, Numar persoane, 71
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2005, Numar persoane, 64
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2006, Numar persoane, 60
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2007, Numar persoane, 78
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2008, Numar persoane, 73
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2009, Numar persoane, 102
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2010, Numar persoane, 102
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2011, Numar persoane, 124
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2012, Numar persoane, 118
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2013, Numar persoane, 121
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2014, Numar persoane, 140
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2015, Numar persoane, 124
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2016, Numar persoane, 112
Cantine publice-numar mediu zilnic de beneficiari, Salaj, Anul 2017, Numar persoane, 80
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 1994, Numar persoane, 1942
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 1995, Numar persoane, 5869
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 1996, Numar persoane, 2183
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 1997, Numar persoane, 1777
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 1998, Numar persoane, 1361
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 1999, Numar persoane, 2193
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2000, Numar persoane, 2463
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2001, Numar persoane, 2761
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2002, Numar persoane, 2051
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2003, Numar persoane, 1852
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2004, Numar persoane, 1894
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2005, Numar persoane, 1905
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2006, Numar persoane, 1763
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2007, Numar persoane, 1684
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2008, Numar persoane, 1756
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2009, Numar persoane, 1713
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2010, Numar persoane, 1603
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2011, Numar persoane, 1648
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2012, Numar persoane, 1772
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2013, Numar persoane, 1635
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2014, Numar persoane, 1702
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2015, Numar persoane, 1660
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2016, Numar persoane, 1109
Cantine publice-numar mediu zilnic de beneficiari, Regiunea CENTRU, Anul 2017, Numar persoane, 1178
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 1994, Numar persoane, 323
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 1995, Numar persoane, 327
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 1996, Numar persoane, 311
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 1997, Numar persoane, 317
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 1998, Numar persoane, 339
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 1999, Numar persoane, 351
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2000, Numar persoane, 464
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2001, Numar persoane, 540
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2002, Numar persoane, 288
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2003, Numar persoane, 268
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2004, Numar persoane, 266
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2005, Numar persoane, 273
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2006, Numar persoane, 288
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2007, Numar persoane, 251
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2008, Numar persoane, 232
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2009, Numar persoane, 232
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2010, Numar persoane, 201
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2011, Numar persoane, 188
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2012, Numar persoane, 142
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2013, Numar persoane, 128
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2014, Numar persoane, 105
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2015, Numar persoane, 106
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2016, Numar persoane, 43
Cantine publice-numar mediu zilnic de beneficiari, Alba, Anul 2017, Numar persoane, 48
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 1994, Numar persoane, 306
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 1995, Numar persoane, 347
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 1996, Numar persoane, 371
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 1997, Numar persoane, 352
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 1999, Numar persoane, 350
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2000, Numar persoane, 350
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2001, Numar persoane, 347
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2002, Numar persoane, 358
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2003, Numar persoane, 361
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2004, Numar persoane, 473
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2005, Numar persoane, 531
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2006, Numar persoane, 460
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2007, Numar persoane, 438
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2008, Numar persoane, 406
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2009, Numar persoane, 444
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2010, Numar persoane, 442
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2011, Numar persoane, 370
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2012, Numar persoane, 351
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2013, Numar persoane, 401
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2014, Numar persoane, 419
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2015, Numar persoane, 477
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2016, Numar persoane, 224
Cantine publice-numar mediu zilnic de beneficiari, Brasov, Anul 2017, Numar persoane, 369
Cantine publice-numar mediu zilnic de beneficiari, Covasna, Anul 1994, Numar persoane, 220
Cantine publice-numar mediu zilnic de beneficiari, Covasna, Anul 1995, Numar persoane, 1408
Cantine publice-numar mediu zilnic de beneficiari, Covasna, Anul 1996, Numar persoane, 313
Cantine publice-numar mediu zilnic de beneficiari, Covasna, Anul 1997, Numar persoane, 60
Cantine publice-numar mediu zilnic de beneficiari, Covasna, Anul 1998, Numar persoane, 31
